Pointer,Original,Translated
393250,"あっ <&NAME>さん
おぼえていて くれたんですね","Ah <&NAME>. You actually came!
You remembered."
393252,"ほしが とってもきれいですね

いや きみのほうが・・・","The stars look beautiful, don't they?

Not as beautiful as you..."
393254,"おんなのこに ほしのかけらを
プレゼントすると よろこばれるわよ","If you give a pretty girl a Star Piece, I'm sure it
would make her very happy."
393256,"うちゅうせんを みるようになってから
ロボロボだんが あらわれたんだよ","The RoboRobo Gang started showing up ever since we started seeing space ships."
393258,"すいせいが おちて
メダルに なったんだって","They say Medals fell to Earth on a comet."
393260,"てんたいドームだと
ほしが はっきリみえるのよ","You can see stars very clearly 
from the observatory dome."
393262,"パーツは おのれの
しんねんで えらぶのじゃぞ","Choose your parts wisely."
393264,"おっ ぼうずも
メダロット やってんのか

おれが いいことを
おしえてやろうか？<*4>","Oh, so you're into Medarot too, kid?

Want me to give you some advice?<*4>"
393266,"ランクと レベルが かいひの
じゅくれんどに なるんだよ","Ranking and Leveling up improves your Medarot's evasion."
393268,"ランクアップしたときは いつもよリ
じゅくれんどが おおくあがるのよ","When your Medarot ranks up, its skills will increase more than usual."
393270,"<&NAME> ボナパルトを
さんぽに つれていってきなさい

こうえんでは ともだちと
なかよくするのよ","<&NAME>, could you take Bonaparte for a walk?

You can play with the other kids in the park while you're there."
393272,"・・・ にがしたか・・","It got away..."
393274,"いいルアーだな よかったら
おじさんに くれないか？<*4>","That's a good lure you got there. Can I have it?<*4>"
393276,"あリがとう
かわリに これをやるよ","Thanks. You can have this."
393278,"じゃあ 1000円で かうぞ","All right, I'll buy it for 1000¥."
393280,"おおっ!
よくつれるぞ このルアー","Ooh! This is a very well-made lure."
393282,"たいかいドームヘ ようこそ","Welcome to the Tournament Dome!"
393284,"メダルは ぜんぶで57しゅるいさ","There are 57 different kinds of Medals."
393286,"メダルは ぜんぶで28コあるのさ","There are 28 medals in total."
393288,"オラと しょうぶだ!","Fight me!"
393290,"ケイタイを ひらいて メダルの
じゅくれんどを みてみな

メダロットを くみたてたときに
メダルの したに でるだろう？

それが そのメダロットが
とくいな こうどうなのさ

じゅくれんどは つかえば
つかうほど あがっていくぜ

はずれても いいから くリかえし
れんしゅうすることが だいじなのさ

じゅくれんどが ひくいままじゃ
つよいやつには かすリもしない

レベルのたかいやつを まかしたきゃ
じゅくれんどを ガンガンあげな

あたリにくいときゃ さくてきを
つかうのも ひとつの てだぜ","You can look at your Medarot's skills when you open up your Phone menu.
Have you noticed something underneath its Medal? That is the Medal's specialty.
The more you use it, the more its power will increase. Even if you miss the attack, simply using it will
increase its power. Right now, its power may be weak...but if you fight powerful oppenents, it will increase
little by little. If you defeat high-leveled oppenents, its power will increase exponentially!
If you find it difficult to hit your oppenents, try using "Scan"."
393292,"ケイタイを ひらいて メダルの
じゅくれんどを みてみな

メダロットを くみたてたときに
メダルの したに でるだろう？

それが そのメダロットが
とくいな こうどうなのさ

じゅくれんどは つかえば
つかうほど あがっていくぜ

はずれても いいから くリかえし
れんしゅうすることが だいじなのさ

じゅくれんどが ひくいままじゃ
つよいやつには かすリもしない

レベルのたかいやつを まかしたきゃ
じゅくれんどを ガンガンあげな

あたリにくいときゃ さくてきを
つかうのも ひとつの てだぜ","=0x6004a"
393294,"ケイタイを ひらいて メダルの
じゅくれんどを みてみな

メダロットを くみたてたときに
メダルの したに でるだろう？

それが そのメダロットが
とくいな こうどうなのさ

じゅくれんどは つかえば
つかうほど あがっていくぜ

はずれても いいから くリかえし
れんしゅうすることが だいじなのさ

じゅくれんどが ひくいままじゃ
つよいやつには かすリもしない

レベルのたかいやつを まかしたきゃ
じゅくれんどを ガンガンあげな

あたリにくいときゃ さくてきを
つかうのも ひとつの てだぜ","=0x6004a"
393296,"んっ ぼうずか・・・
ひとリものどうし ロボトルするか？<*4>","Hey boy..
How about a robottle between two single men?<*4>"
393298,"<&NAME> きょうもげんきだな

スポーツもいいけど
そろそろ メダロ・・・

いや いいんだ なんでもない","Good morning <&NAME>, you're looking good today.

Sports are great and all, but you really should get into Medar...

Er... Nevermind, it's nothing."
393300,"<&NAME> きょうもげんきだな

スポーツもいいけど
そろそろ メダロ・・・

いや いいんだ なんでもない","=0x60052"
393302,"ロボトルしよーぜ!

えっ メダロットを もってないって
ちぇっ ださいやつ","C'mon, let's Robottle!

Huh? You don't have a Medarot? 
Laaame."
393304,"メダロットどうしを たたかわせる
ロボトルが はやっているのよ

メダロットの1たいも もってなきゃ
おんなのこに もてないんだから","Right now, it's super cool to have your Medarot fight in Robottles.
If you don't have your own Medarot, you'll never be popular with the ladies!"
393306,"メダロットに ロボトルに
パーツ ティンペット メダルっと

うわーん
こんがらがって きちゃった","To have your Medarot Robottle, you need a Tinpet, Medal, parts...

Auugh, it's so confusing!"
393308,"メダロットを あくようして わるさを
している れんちゅうがいるんだ

それが ロボロボだんさ
ロボロボだんを みつけたら

せいぎのみかた セレクトたいに
まもってもらわなきゃ","They say there's a group of bad guys going around using Medarots for evil deeds.

They call themselves the RoboRobo Gang. If you see one of them, you should report it to the Select Force right away. They're the defenders of justice!"
393310,"さあ
けっちゃくを つけようじゃないか","Now, let's settle this."
393312,"けっきょく
きみだけには かてなかったな","It seems that I can beat everyone except you."
393314,"パ パパ・・・
けっしょうの あいてってパパなの？

<&NAME>よ
パパを ふみこえて おおきくなるんだ","D-Dad?
My final opponent is...my Dad?
<&NAME>. I won't hold back, make this a good match."
393316,"じゃ えんリょなく・・・
ムギュッ

パ パパは うれしいぞ
こんな リっぱになって イタッ・・

ゆうしょうしゃの
<&NAME>くんには

セレクトたい たいちょう
タイヨーとの ラストバトルに

ちょうせんして もらいます",""
393318,"がんばれよ <&NAME>
パパのゆめを かなえてくれ","Do your best, <&NAME>. Achieve your father's dream!"
393320,"さいきょうの メダロッターをかけた
このラストバトル

めがみは どちらにほほえむのか!？

<&NAME>くんは
やるきまんまんです 

それでは ロボトルファイト!!","The strongest Medarotters are going head to head
in this final battle.

Who will Lady Luck smile upon today?

<&NAME> sure looks determined!

That said, Robottle Fight!"
393322,"しょうしゃは <&NAME>くん!

セレクトたい たいちょうをうちやぶリ
えいこうの ざを かちとリました!

ただでは すまさんぞ!","The winner is <&NAME>!
He completely trounced the Select Force Commander
in this heated battle!

You've seen it here, folks. That will be all for today, Ladies and Gentlemen!"
393324,"しょうしゃは <&NAME>くん!

セレクトたい たいちょうをうちやぶリ
えいこうの ざを かちとリました!

ただでは すまさんぞ!","=0x6006a"
393326,"<&NAME>!
けがはないか？

あれっ？
ケイタイがうごかない・・・

メダルに ヒビがはいっちゃったけど
パパなら なおせるよね

なんてことだ ケイタイから
メダロットがとリだせなくなっている

えっ・・・？

メダルは なおすことが できないんだ","<&NAME>!
Are you okay?
Huuh? The phone isn't working.
It looks your Medal is cracked, I'll fix it for you.
What's this? I can't send out the Medarot.
...What?
I'm afraid I can't fix the Medal..."
393328,"フッフッフッ","Fufufuu..."
393330,"なんて きたない やつだ

おおーっと
どうしたことでしょうか!？

<&NAME>くんの メダロットが
とつぜん ばくはつしました!？

ひょうしょうしきは ちゅうしして
ごじつ・・・","That slimeball...
What's this! <&NAME>'s Medarot suddenly exploded?!
I'm afraid we'll have to postpone the awards ceremony."
393332,"おちこむな <&NAME>

メダルをなおす ほうほうは
きっと あるはずだ","Don't be sad, <&NAME>.
I'm sure there's a way to fix your Medal."
393334,"ワンッ ワンッ

どうした？

ワンッ ワウーッ","Wooof wooof!
What's wrong?
Woof Aarf!"
393336,"ボナパルト どこヘ いくんだ？","Bonaparte, where are you going?"
393338,"あっ コマチ!？

それに セレクトたい たいちょう？

<&NAME>!!

たすけ・・・

ふははははっ!","Ah! The Masked Beauty?
And...the Select Force Commander?
<&NAME>!!
Help me...
Hahahahaa!!"
393340,"まてっ!","Wait!"
393342,"これは キララのケイタイ!？

もしかして コマチは・・・","This is Kirara's phone!
Could it be...that the Masked Beauty is..."
393344,"いらっしゃーい
とってもレアなもの い・か・が？","Welcome!
What would you like? We have some rare items."
393346,"いらっしゃーい
とってもレアなもの い・か・が？","=0x60080"
393348,"がいこくの メダロットや パーツを
ちょくせつ ゆにゅうしているのよ","We import Medarots and parts from overseas."
393350,"ダメロットを 20000円で
うってくれない？<*4>","Will you sell this Medanot for 20000¥?"
393352,"あリがとうね ぼうや","Thank you, boy."
393354,"いいもの うってないかしら","I wonder if they're selling anything good."
393356,"ダメロットって
なんの やくにたつのかしら・・・","I wonder if this "Medanot" could be useful for anything..."
393358,"だれか オレのかわリに
そうこを せいリしてくれよ","Someone should cover for me to manage the storehouse."
393360,"がいこくの パーツやアイテムは
みーんな うばってしまったロボ

「せんぼうきょう」さえ なくなれば
だれも ビルには ちかづけないロボ

むっ だれロボ!？

みられたからには
ただでは かえさないロボ!","We stole all the foreign parts and items, Robo.
Without that "Conductor's Stick", no one will be able to
get near the Select Building, Robo!
Huh, who are you?
I can't let you get away with what you just saw!"
393362,"おっ おぼえてロボーッ!","I-I'll remember this, Robo!"
393364,"ここに がいこくから はこんできた
パーツを ほかんしているんだ","This is where parts from overseas are stored."
393366,"せいぎのみかたの セレクトたいが
なぜ こんなことをするんだ!？","Why would you do this? Aren't the Select Force supposed to be the good guys?!"
393368,"きみが われわれの じゃまばかリ
するからだよ

われわれの なかまに なるなら
ゆるして やってもいいぞ

だめよっ <&NAME>

こいつの いいなリになっちゃ!

ふふふっ
こうなっては てもあしもでまい!

キララに てをだすなぁっ!!

わうっっ!!","Because you keep meddling with our plans!

If you become one of us, then maybe I'll forgive you 
and let the girl go.

No, <&NAME>. Don't listen to him!

Fufufuu...
You'd better make a choice.

Don't you dare lay a finger on Kirara!

Waah!!"
393370,"よ よくも やリおったな

このけっちゃくは
ラストバトルで つけてやるわ!!","You've done well so far. Now it's time for the final battle!"
393372,"あリがとう <&NAME>

これ おとしもの

なか みた・・・？

うん

ごめんなさい
だますつもリは なかったの

わかってるって

つぎの ラストバトル がんばってね♥
あなたなら きっとかてるわ","Thanks, <&NAME>.

That phone...did you look through it?

Sorry...I was going to tell you but...

It's okay, I understand.

Good luck in the final round. Give it your all,
I'm sure you can win."
393374,"このホテルは
がいこくのひとで いっぱいだよ","This hotel is full of foreigners!"
393376,"このホテルは
がいこくのひとで いっぱいだよ","=0x6009e"
393378,"たいかいのひが まちどおしいなぁ","They all seem to be looking forward to the tournament."
393380,"だみしのた もしたわ ねだうそ","Mia kusenveturilo estas angiloplena."
393382,"トマト しんぶんし","Newspaper, tomato?"
393384,"おまえモ たいかいニ でるノカ？

ダッタラ わたしト かるく
れんしゅうシナイカ？<*4>","You are also going to the tournament?
If so, would you mind practice with me?<*4>"
393386,"ほかノ あいてデモ さがすカ","I will search for other opponent."
393388,"ソレジャ ロボトルスタート!","All right, robottle start!"
393390,"さいきん ロボロボだんが
わるさをして あるいてるんだ

それを やっつけるために
セレクトたいが つくられたんだよ","Recently, there has been a gang of people
who use Medarots for evil, they're
called the RoboRobo Gang. The Select Force was
made to combat these evildoers."
393392,"たいかいガ たのしみダナ","I'm really looking forward to the tournament."
393394,"パーツが ほしければ
コンビニに いってみるといいよ

みせによって
うってるパーツが ちがうから

いろんなコンビニを みてまわると
おもしろいよ","If you want parts, you should check out your local store.

Each store varies in parts.
 
So it's recommended that you check out other stores."
393396,"いぬを はなしっぱなしにしちゃ
いけないよ","You shouldn't let your dog run loose in the park."
393398,"せいぎのために たたかいたいなら
ロボロボだん たいじがいいぞ

たおしたときに てにはいる
ロボロボメダルを つかえば

ロボトルを しかけられたときに
にげることができるぞ

ロボトルを はじめるなら
いくつか みほんをあげよう

じぶんから はなしかけたときは
つかえないから ちゅういしろよ","So you want to help the fight for justice? In that case, you should try to defeat RoboRobo Gang members.

If you use the RoboRobo Medals you get for defeating them, you'll be able to run away when you're suddenly challenged to a Robottle.

Since you're just starting out, I'll give you some as a free sample.

You won't be able to use them when you approach the challenger yourself though, so be careful."
393400,"いらないパーツが おおくなったら
コンビニで 「うる」をえらんで

パーツを リサイクルすれば
おこづかいを ふやすことができるぞ","If you have a lot of parts that you don't need, you can sell them at a convenience store.

It's better to recycle them rather than throwing them away.
Plus it gives you some extra spending money."
393402,"こっそリ ロボトルしようかな","Let's have a secret little Robottle, shall we?"
393404,"こっそリ ロボトルしようかな","=0x600ba"
393406,"しごとちゅうに あそんでたら
おこられちゃった","I'm busy working right now. If I goof off,
my boss will get mad at me."
393408,"パーツも ティンペットも
レベルアップ しないんだって

つまんないから きみに1つあげるよ
ふつうのティンペットが いいかい？<*4>","You haven't leveled up your parts or your Tinpets?
That's no fun, how about I give you this Tinpet?<*4>"
393410,"ティンペットの ちょうしは どう？","How do you like the Tinpet?"
393412,"こうげきタイプの チームで
やっつけたほうが つよいわよ","An offensive team is the best option if you want to be aggressive."
393414,"ぼうぎょタイプで はんていに
もちこんだほうが つよいわよ","Building a defensive team is the best option if you want to play it safe."
393416,"せいかくの「こうげき」が たかいと
こうどうが せいこうしやすくなるよ

まもってくれる なかまがいれば
こうげきリょくが アップするよ

ほかにも いろんなくみあわせを
ためしてみてね","If a Medarot's personality has a high "Attack" stat, its attacks will
land more easily.

If you have an ally Medarot who can defend, it will raise its "Attack" even more.

Try to combine and test other personalities and see what you get."
393418,"ねえママ メダロット
かってもいいでしょう？","Hey mom, can I have a Medarot?"
393420,"はいはい
ちゃんと おてつだいしたらね","Sure, if you help me with some errands."
393422,"つうしんケーブルを つかうと

ほかのせかいの ともだちと
ロボトル できるんだって","If you use a Link Cable, you can connect and Robottle 
with friends from other worlds."
393424,"ねえっ ロボトルしない？<*4>","Hey, wanna Robottle?<*4>"
393426,"リーダーを まもるために
なかまが 「えんご」するのさ","You can defend your leader Medarot by making an ally use "Protect"."
393428,"メダロットの くみたてがめんでは
かえたいところに カーソルをあわせて

みぎや ひだリを おせば
メダルや パーツが そうびできるぞ","You can change your Medarot's parts and Medal on the Medarot assembly screen.

Just select the part you want to change and press right or left to swap between them!"
393430,"メダロットの くみたてがめんでは
かえたいところに カーソルをあわせて

みぎや ひだリを おせば
メダルや パーツが そうびできるぞ","=0x600d4"
393432,"メダロットの くみたてがめんでは
かえたいところに カーソルをあわせて

みぎや ひだリを おせば
メダルや パーツが そうびできるぞ","=0x600d4"
393434,"そうだよな
おまえに たおせるわけがない","There is no way I can beat you."
393436,"メダロットもいいけど

きょうは
しゅうぎょうしき じゃないの？

はやく がっこうヘ いってきなさい","Medarots are well and good, but isn't today the closing ceremony?

You should hurry and get to school."
393438,"メダロットもいいけど

きょうは
しゅうぎょうしき じゃないの？

はやく がっこうヘ いってきなさい","=0x600dc"
393440,"メダロットもいいけど

きょうは
しゅうぎょうしき じゃないの？

はやく がっこうヘ いってきなさい","=0x600dc"
393442,"ロボトルで
つねに かちつづけるためには

いろんなパーツの けんきゅうが
ひつようだ","In order to keep winning Robottles, it's a good idea to try out different parts."
393444,"けんきゅうじょには
ヘんなひとが いっぱいいるよ

じつは わたしもね・・・","The Medarot lab is full of all kinds of weird people.

Then again, I'm one of those people..."
393446,"あいしょうの よいパーツを
たくさんつけると パワーアップ!","Equipping compatible parts to your Medal will boost its overall power."
393448,"「きゃくぶ」パーツの
「かくとう」が たかいと

「なぐる」「がむしゃら」だけじゃなく
ぼうぎょも せいこうしやすいんだ","If your Medarot's "Legs" have a high "Melee" stat,

not only will it boost its "Strike" and "Berserk" power...
but it will also defend more often."
393450,"ガチャッ","Ker-chak!"
393452,"まけるな いちごうき","Don't lose, robot #1!"
393454,"キシャーッ","Rawr!"
393456,"ぜろごうき いきます","Go, robot #2!"
393458,"ギギギッ","Gigigii!"
393460,"にごうきの でばん まぁだ？","Is it robot #2's turn yet?"
393462,"ブブーーー!!
たちいリきんし!!

はいるときは セーブしてください!","Beep beeep!! No entry beyond this point!
Save before you enter."
393464,"",""
393466,"めのまえが ぼんやリしてきた・・・","My vision is fading..."
393468,"いちごうきの ちょうしが
よくないですね","Robot #1 is not looking so good."
393470,"たちいリきんしの ばしょには
はいっては いけませんよ","Do not enter any off-limit areas!"
393472,"あなたは・・・ もしかして
<&NAME>さんですか？

わ わたしは メダロットはかせの
まごで ナエといいます

ここでパーツの せっけいを
てつだってるんです

あの・・・

よかったら パーツのテストに
つきあってくださいませんか？<*4>","Could you be...<&NAME>?

My name is Nae, I'm the professor's granddaughter.

I help design the parts here.

Um...

If it's fine with you, could you help me 
test out some new parts?<*4>"
393474,"よろしく おねがいします
これは ほんのきもちです

じゅんびが できたら
こえを かけてくださいね","Thank you very much. I'm very grateful for your help.

Let me know when you're ready."
393476,"ごめんなさい

いそがしいのに むリをいってしまって","Sorry, I'm busy right now."
393478,"どうでしたか？
てごたえが あリましたか？<*4>","How was it?

Did you like it?<*4>"
393480,"よかった
それをきいて あんしんしました","That's good.

I'm glad to hear that."
393482,"あリがとうございました
もうすこし かいリょうしてみます","Thank you for your help.

I'll make some further improvements in the mean time."
393484,"<&NAME>さん

まえのパーツを かいリょうしたんです
ためして いただけませんか？<*4>","<&NAME>.

I made some improvements on the last parts that I gave you.
Will you try them out?<*4>"
393486,"ちかごろ ちょうしはどうですかか？","How was it this time?"
393488,"わたしは まえよリ よくなったと
おもうんですが？<*4>","Was it better than last time?<*4>"
393490,"あリがとうございました
とても さんこうになリました

<&NAME>さん
いつか いっしょに ほしを・・・

いえ なんでもないんです","Thank you so much.
You've helped a lot with my research.
Hey <&NAME>...maybe one day we could go stargazi...
Never mind, it's nothing."
393492,"メダルの しゅうリですか？

ごめんなさい
わたしでは おやくにたてません","You need to fix a Medal?
I'm sorry, I can't help with that."
393494,"メダルが なおったんですか？
よかったですね

まちで たいヘんなことが
おきているのを ごぞんじですか？

みんなのメダロットが
とつぜん あばれだしたんです

ちょうさのけっか わかったのですが

ふつうのメダルの メダロットは
1たいも ぼうそうしていないんです

それって もしかしたら
セレクトたいが？

<&NAME>さん
セレクトビルに いかれるんですか？","You fixed your Medal? That's great!
Have you seen the crazy things that have been happening in town lately?
Everyone's Medarots suddenly started running amok.
I think I've discovered the reason though... 
Not a single one of the Medarots using regular Medals have gone berserk.
Could this be the Select Force's doing? <&NAME>, could you go check out the Select Force HQ?"
393496,"きをつけてくださいね","Please be careful."
393498,"<&NAME>さんに
なにかあったら わたしは・・・

きを つけてくださいね
<&NAME>さん

ごぶじを いのっています","<&NAME>, if something were to happen to you, I...
Just please be careful. I'll be praying for your safety."
393500,"きゃくぶパーツの
「すいしん」が ひくいと

「がむしゃら」「ねらいうち」の
ダメージが ひくくなるんだ","If your Medarot's legs have low "Speed",
then its "Berserk" and "Snipe" power will also be low."
393502,"おもしろいもの もってるね

かしてごらん

メダルもどきが
カメレオンの メダルになった!","That's an interesting looking thing you got there.
Can I see it real quick?
The "Medal-shaped coin" turned into a "Chameleon" Medal."
393504,"きゃくぶパーツが こわれると
きゃくぶの のうリょくが

はんぶんになるから
ちゅういするんだよ","If your Medarot's legs get destroyed in battle,
its speed gets halved. Be careful."
393506,"あしたから いよいよ なつやすみだ!
せんせいも うれしいぞ!

それでは せんせいから
なつやすみの しゅくだいの

おまけを あげよう!","Tomorrow is summer vacation at last!
Even I can't wait!

Of course, that means I'll be giving you some extra homework to do over the break!"
393508,"わしが いだいなる
メダロットはかせじゃ

メダロットは こうして
つくられるんじゃ","I'm Dr. Medarot,
the creator of Medarots."
393510,"おおっ きみか
しんぶんに のっておったろう？

かつやくの ごほうびに
これをやろう

これをもっていれば けんきゅうじょの
みぎがわの ヘやにも はいれるぞ","Oh it's you.
You're were in the newspaper, y'know.
Here's a reward for your efforts.
With this, you can enter the room on the right hand side of the Lab."
393512,"メダロットは ばくはつじゃ!","My Medarot exploded!"
393514,"なに？ うちゅうじんに
なおしてもらっただと？","What? It was repaired by aliens?!"
393516,"なに？ うちゅうじんに
なおしてもらっただと？","=0x6012a"
393518,"メダルは ぜんぶ そろったか？","Have you collected all the Medals?"
393520,"おおっ すべてのメダルが
そろっておるではないか!

よし それじゃあ ごほうびに
このメダルを・・・

もっておるか・・・

はっはっはっ

しかたがない とっておきの
このメダルをやるか・・・

このメダルは すべてのメダル
プロトタイプじゃ

きみのすきなように
そだててみたまえ","Ooh, you have all of them!
In that case, here's a Medal as a rewa-
Oh you already have it. Hahaha!
I guess I should give you this then, it's a prototype Medal.
Use it on whatever Medarot you like."
393522,"はやく メダルを そろえるのじゃぞ","Hurry and collect all of the Medals!"
393524,"オオカミおとこじゃと？

メガネの しょうてんが
ズレとるんじゃな？

これを もっていきなさい","You saw a wolf man?
Do you need glasses, boy?
Here, take these."
393526,"オオカミおとこじゃと？

メガネの しょうてんが
ズレとるんじゃな？

これを もっていきなさい","=0x60134"
393528,"オオカミおとこじゃと？

メガネの しょうてんが
ズレとるんじゃな？

これを もっていきなさい","=0x60134"
393530,"パディさまは
ただいま がいしゅつ しておリます

おくにいっても だれもいませんよ","Paddy is out at the moment. You can check her room, but I don't think anyone is there."
393532,"パディさまに
ヘんなむしがつくと たいヘんざます","If Paddy has a ill-mannered boyfriend, it could have a negative influence on her."
393534,"このまちには まだまだ
きみたちの しらないことが

たくさんあるはずだ

そこでっ! 
せんせいは このなつ きみたちに

いまからいう ばしょを ぼうけんして
もらおうと おもってしまったぞ!

「みなとまち」では いま
サメがでるらしいぞ!

「やまおく」では サルなんかに
かくとうをいどんでみたら どうだ？

「セレクトほんしゃビル」では
あこがれの セレクトたいの

たいちょうが いるかもしれないな!","There's bound to be a lot of places in this area that you guys have never been to!
With that in mind, I thought this summer would be a good opportunity for you to explore the town! 

How about investigating the reports of sharks in the waters of Harbor Town, or challenging the martial artist monkeys on the Mountainside to a match?

If you head to the Select Headquarters, you might even meet the esteemed chief of the Select Force!"
393536,"<&NAME>くん
ベティの あいてを なさい

は？","<&NAME>, play with Betty.
Huh?"
393538,"まあ なかなかやるじゃあリませんこと","Well, you're pretty good."
393540,"もう ようじは なくってよ","I'm not a child anymore."
393542,"わたしの ベティちゃんは つよいわよ","My Betty is pretty strong."
393544,"おっと ごかいしないでくれたまえ

きみが おもっているようなことじゃ
ないんだよ","Ah, please don't misunderstand. It's not what you think."
393546,"ベティ やっておしまい","You did good, Betty."
393548,"あら いらっしゃい
おちゃでも いかが？","Ah welcome. Would you like some tea?"
393550,"ばれてしまったら しかたがないな","Well I guess the cat's out of the bag..."
393552,"ぼくたちは あいしあっているのさ

でも このことは
きみには かんけいないだろう？","We love each other but...what exactly does that have to do with you?"
393554,"ほかのばしょに いってくれないか？","Have you visited any other places lately?"
393556,"コンビニでも ティンペットは
うってないんだなぁ","Stores don't sell Tinpets..."
393558,"のこリの メダルは
あと・・・","The number of remaining medals is..."
393560,"4まいか","4"
393562,"2まいか","2"
393564,"よし メダルが ぜんぶそろったぞ
はやく メダロットはかせの・・・","All right, I've collected all the Medals. Now to show the Professor..."
393566,"「いせき」は なぞのひこうぶったいが
おリたという うわさがある

うちゅうじんと ロボトルッ!

・・・なんてことに
なるかもしれないぞ!

まよったときは タウンマップだ!

アイテムがめんで これをつかえば
じぶんの いるばしょも わかるんだ

じゃあ みんなのぼうけんレポートを
きたいしてるからな!","There have been rumors of unidentified flying objects near the ruins, too!
You might even get to Robottle with aliens!

....It could happen!

If you get lost, just check the "Town Map"!

Just select it from your item screen, and you'll be able to see where you are immediately.

Well then, I'll look forward to seeing everyone's reports in the fall!"
393568,"キララどうしたんだ？

クボタと ヤンマったら ひどいのよ!

いきなリ ふたリがかリで
ロボトルしかけてきて

やリたくないって いってるのに
むリやリ パーツうばおうとするのよ","Kirara, what's going on?
Kubota and Yanma are being mean!

The two of them ganged up on me and challenged me to a Robottle.
I told them I didn't want to, but they won't let it go! They're just trying to take my parts!"
393570,"なんだ？ <&NAME>
ロボトルは かったやつが

まけたやつから パーツをうばえるって
ルールだろうが しらねえのか？

おれたちが ひきょう？
・・・ばかいうな

ロボトルは チームで
たたかうのが ふつうだろ？

1たいしか もってねえヤツが
わるいんだよ!

なんだよ <&NAME>
そんなかおで にらんでんじゃねーよ

それとも
オマエが あいてになるってのか？<*4>","What's that?
<&NAME>, don't tell me you didn't know that the winner gets to take a part from the loser. It's a basic rule of Robottles!

You say we're cheaters? Don't be stupid!
It's normal for Robottles to be team battles, right?
It's your own fault for only having one!

C'mon <&NAME>, stop glaring at us like that.
Or do you think you can take us on? Huh?<*4>"
393572,"せいかくが おなじパーツを
4つ つけてるときだけ

メダルの せいかくが
1ずつ ヘんかするんだよ","Your Medal's habits will change a little but at a time when you
equip four compatible parts."
393574,"うしが じゃまで とおれないよ","There's a cow in the way, I can't go through."
393576,"はたけに はいっちゃ なんねーぞ","Don't go near the crops!"
393578,"もーっ","Moo!"
393580,"モー","Mooo."
393582,"ひみつの つうろって しってる？<*4>","Do you know about the secret passage?<*4>"
393584,"せっかく かくしてたのに
ばれちゃったのね

でも はじめは いけないのよ","My secret's been exposed... Although I've never actually went down it before."
393586,"にんじゃむらに つづくみちが
あるんだって","There's a secret path that leads to the Ninja Village."
393588,"こらーーーーっ!!","Heeeeey!!"
393590,"ひさしぶリじゃの <&NAME>

いきなリ ロボトルかいしじゃ!","Long time no see, <&NAME>.
I know this is sudden but...let's Robottle!"
393592,"はじめたばかリにしちゃ つよいのう","You're very strong. You beat me rather quickly."
393594,"ワシも ちいさいころは
にんじゃごっこを したもんだ","When I was a kid, I also used to play ninja."
393596,"・・・・・・","......"
393598,"おじいちゃん どうしたの
しっかリして!!

ふぁーーーっ よくねたっ","Grandpa! What happened?
Hang in there!

Fuaah... that was a good nap."
393600,"ワシが・・・
ワシが せかいを まもるんじゃあ!","I...I will protect the Earth!"
