Pointer,Original,Translated
475362,"さあ せんとうかいし!<*3>","=0x740b4"
475364,"さあ せんとうかいし!<*3>","=0x740b4"
475366,"さあ せんとうかいし!<*3>","=0x740b4"
475368,"さあ せんとうかいし!<*3>","=0x740b4"
475370,"さあ せんとうかいし!<*3>","=0x740b4"
475372,"さあ せんとうかいし!<*3>","=0x740b4"
475374,"さあ せんとうかいし!<*3>","=0x740b4"
475376,"さあ せんとうかいし!<*3>","=0x740b4"
475378,"つうしんロボトルを はじめます!!<S3c><*4>","The link battle will now begin!<S3c><*4>"
475380,"つかえません!!","You can't use that!!"
475382,"すてることはできません","It can't be thrown away."
475384,"いくつすてますか？<*4>","How many?"
475386,"ほんとうに すてても
よろしいですか？<*4>","Are you sure you want to throw it away?"
475388,"せんとうに さんかできません","It can't battle in this state."
475390,"<&c6a2> は
なにも しなかった!<S1e><*4>","<&MEDA> did nothing!<S1e><*4>"
475392,"<&c6a2> の
なぐる こうげき! <&c705>!<*4>","<&MEDA>'s Strike attack! <&c705>!<*4>"
475394,"<&c6a2> の
がむしゃら こうげき! <&c705>!<*4>","<&MEDA>'s Berserk attack! <&c705>!<*4>"
475396,"<&c6a2> の
なぐる こうげき! <&c705>!<*4>","<&MEDA>'s Strike attack! <&c705>!<*4>"
475398,"<&c6a2> の
がむしゃら こうげき! <&c705>!<*4>","<&MEDA>'s Berserk attack! <&c705>!<*4>"
475400,"<&c6a2> は
あたまに <&c705>ダメージ!<S3c><*4>","<&MEDA>'s head took <&c705> damage!<S3c><*4>"
475402,"<&c6a2> は
みぎうでに <&c705>ダメージ!<S3c><*4>","<&MEDA>'s right arm took <&c705> damage!<S3c><*4>"
475404,"<&c6a2> は
ひだリうでに <&c705>ダメージ!<S3c><*4>","<&MEDA>'s left arm took <&c705> damage!<S3c><*4>"
475406,"<&c6a2> は
きゃくぶに <&c705>ダメージ!<S3c><*4>","<&MEDA>'s legs took <&c705> damage!<S3c><*4>"
475408,"<&c6a2> の
あたまは こわれた<*4>","<&MEDA>'s head was destroyed.<*4>"
475410,"<&c6a2> の
みぎうでは こわれた<*4>","<&MEDA>'s right arm was destroyed.<*4>"
475412,"<&c6a2> の
ひだリうでは こわれた<*4>","<&MEDA>'s left arm was destroyed.<*4>"
475414,"<&c6a2> の
きゃくぶは こわれた<*4>","<&MEDA>'s legs were destroyed.<*4>"
475416,"べつのパーツに かんつうした!!<S3c><*4>","The attack damaged other parts!<S3c><*4>"
475418,"<&c6a2> は
こうげきを かわした!<S3c><*4>","<&MEDA> dodged the attack!<S3c><*4>"
475420,"<&c6a2> の
うつ こうげき! <&c705>!<*4>","<&MEDA>'s Shoot attack! <&c705>!<*4>"
475422,"<&c6a2> の
ねらいうち こうげき! <&c705>!<*4>","<&MEDA>'s Snipe attack! <&c705>!<*4>"
475424,"<&c6a2> は
みかたを おうえんした<*4>","<&MEDA> supported its teammate!<*4>"
475426,"<&c6a2> は
スピードアップした!!<*4>","<&MEDA>'s speed was boosted!<*4>"
475428,"<&c6a2> に
おうえんの こうかが なかった<*4>","It had no effect on <&MEDA>.<*4>"
475430,"ほうねつに せいこうした

<*1>","Cooldown succeeded.

<*1>"
475432,"ほうねつに しっぱいした

<*1>","Cooldown failed.

<*1>"
475434,"<&c6a2> は
チームぜんたいを まもリます!<S3c><*4>","<&MEDA> is guarding its team!<S3c><*4>"
475436,"てきのリーダーを たおした

<*1>","Defeated the enemy leader!

<*1>"
475438,"みかたのリーダーが たおれた

<*1>","Your leader has been defeated!

<*1>"
475440,"えんごきたいが まもリにはいった!<S1e><*4>","The guard Medarot took the hit!<S1e><*4>"
475442,"トラップをしかけた!
しかし すでにせっちされていた!<S3c><*4>","A trap has already been set!<S3c><*4>"
475444,"<&c6a2> の
ほんたいの きのうがていしした!!<*4>","<&MEDA> shut down!<*4>"
475446,"<&c6a2> は
ぼうぎょに せいこうした!!<S3c><*4>","<&MEDA>'s defense was successful!<S3c><*4>"
475448,"<&c6a2> の
こうどうパーツは こわれていた<S3c><*4>","The part <&MEDA> used is broken!<S3c><*4>"
475450,"あいてはすでに
きのうていし していた!!<S3c><*4>","The target has already shut down!<S3c><*4>"
475452,"ねらったパーツは
すでに こわれていた!!<S3c><*4>","The targeted part is already broken!<S3c><*4>"
475454,"トラップをしかけた!
しかし すでにせっちされていた!<S3c><*4>","A trap has already been set!<S3c><*4>"
475456,"<&c6a2> の
せっちに しっぱいした<S3c><*4>","<&MEDA>'s trap failed to set!<S3c><*4>"
475458,"<&c6a2> の
せっちに せいこうした<S3c><*4>","<&MEDA>'s trap was set!<S3c><*4>"
475460,"トラップを かいひした<S3c><*4>","Dodged the trap!<S3c><*4>"
475462,"トラップに ひっかかった<S3c><*4>","Got caught in the trap!<S3c><*4>"
475464,"トラップが かいじょされた<S3c><*4>","The trap was cleared!<S3c><*4>"
475466,"<&c6a2> は
かいじょするものが なかった<S3c><*4>","There's nothing to clear!<S3c><*4>"
475468,"<&c6a2> は
かいじょに しっぱいした<S3c><*4>","<&MEDA>'s clear failed!<S3c><*4>"
475470,"<&c6a2> は
トラップを かいじょした!<S3c><*4>","<&MEDA> cleared the trap!<S3c><*4>"
475472,"<&c6a2> は
バリアを かいじょした!<S3c><*4>","<&MEDA> cleared the barrier!<S3c><*4>"
475474,"<&c6a2> は
かいじょするものが なかった<S3c><*4>","There's nothing to clear!<S3c><*4>"
475476,"<&c6a2> は
かいじょに しっぱいした<S3c><*4>","<&MEDA>'s clear failed!<S3c><*4>"
475478,"<&c6a2> は
しょうじょうを かいじょした!<S3c><*4>","<&MEDA> cleared the status!<S3c><*4>"
475480,"<&c6a2> は
かいふくに せいこうした!!<*4>","<&MEDA>'s repair was successful!<*4>"
475482,"<&c6a2> は
かいふくに せいこうした!!<*4>","=0x74158"
475484,"<&c6a2> は
かいふくの こうかがなかった!!<*4>","<&MEDA>'s repair had no effect!<*4>"
475486,"<&c6a2> の
あたまは かいふくした<S3c><*4>","<&MEDA>'s head was repaired!<S3c><*4>"
475488,"<&c6a2> の
みぎうでは かいふくした<S3c><*4>","<&MEDA>'s right arm was repaired!<S3c><*4>"
475490,"<&c6a2> の
ひだリうでは かいふくした<S3c><*4>","<&MEDA>'s left arm was repaired!<S3c><*4>"
475492,"<&c6a2> の
きゃくぶは かいふくした<S3c><*4>","<&MEDA>'s legs were repaired!<S3c><*4>"
475494,"<&c6a2> は
さくてきを おこなった<S3c><*4>","<&MEDA> scanned the area!<S3c><*4>"
475496,"チームぜんいんの
せいこうリつが あがった!<S3c><*4>","The team's success rate increased!<S3c><*4>"
475498,"<&c6a2> は
いんぺいを おこなった<S3c><*4>","<&MEDA> concealed itself!<S3c><*4>"
475500,"しかし いんぺいに しっぱいした!<S3c><*4>","But it remained visible!<S3c><*4>"
475502,"かいひリつが あがった!<S3c><*4>","Evasion increased!<S3c><*4>"
475504,"<&c705>を つかった!<S3c><*4>","Used <&c705>!<S3c><*4>"
475506,"こうかが なかった!!<S3c><*4>","There was no effect!<S3c><*4>"
475508,"<&c70e>は 
<&c705>に ヘんかした!!<S3c><*4>","<&c70e> transformed into <&c705>!<S3c><*4>"
475510,"あまリこうかが なかった!!<S3c><*4>","It had little effect!<S3c><*4>"
475512,"<&c6a2> には きかなかった<S3c><*4>","It had no effect on <&MEDA>.<S3c><*4>"
475514,"セーブしますか？<*4>","Do you want to save?<*4>"
475516,"メダロットが
1たいも くまれていません!

メダロットを くんでください!","You have no battle-ready Medarots!

Please assemble a Medarot!"
475518,"せいぎの ためで あリますっ!<*2>","For justice, sir!<*2>"
475520,"せいぎの ためで あリますっ!<*2>","=0x7417e"
475522,"あくの かぎリを つくすロボ<*2>","Our evil knows no bounds, Robo!<*2>"
475524,"せっしゃが あいてを するで ござる<*2>","I shall be your opponent!<*2>"
475526,"かてると おもうんなら
かかってきな!<*2>","Come at me if you think you can win!<*2>"
475528,"メダロット もってるな
よし やろうぜ<*2>","You have a Medarot, right?
Let's battle!<*2>"
475530,"てかげん しないじゃんじゃん<*2>","I won't go easy on you, dude.<*2>"
475532,"わしと ボロトルせんか？<*2>","Will you Borottle with me?<*2>"
475534,"あたしと ろぼとる しない？<*2>","Wanna wobottle wit me?<*2>"
475536,"ロボトルするって カンジーッ<*2>","Like, let's Robottle, y'know?<*2>"
475538,"ふふふっ そのパーツ いただくわっ<*2>","Hmhmhm, I'll be taking those parts!<*2>"
475540,"にいちゃん かかって きなっ<*2>","Bring it on, youngster!<*2>"
475542,"ロボトルを しゃしんに
とらないかい？<*2>","Mind if I take a photo of our Robottle?<*2>"
475544,"きみの せんリゃくは みきった!<*2>","I've seen through your strategy!<*2>"
475546,"ロボトルするべ!<*2>","Ey, let's Robottle!<*2>"
475548,"とあみで つかまえてやるだ<*2>","You'll be caught in my net!<*2>"
475550,"するっぺよ なっ？<*2>","You'll Robottle me, won't ya?<*2>"
475552,"するもぐ するもぐ<*2>","Dig dig dig, let's go!<*2>"
475554,"のらメダロットが あらわれた!<*2>","A stray Medarot appeared!<*2>"
475556,"のらメダロットが あらわれた!<*2>","=0x741a2"
475558,"いくわよっ!<*2>","Let's go!<*2>"
475560,"ぼうや どこからでも
かかってらっしゃい<*2>","I'll take you on any day, boy!<*2>"
475562,"きみと ボクとの かくのちがいを
みせてあげよう<*2>","I'll show you the difference in our abilities.<*2>"
475564,"いっくわよーっ!<*2>","Heeere I come!<*2>"
475566,"あんたって まったく めざわリだわ<*2>","You're an eyesore...<*2>"
475568,"・・・・・・<*2>","......<*2>"
475570,"こてんぱんに してやるぜ!<*2>","I'll beat you to a pulp!<*2>"
475572,"よろしく おねがいいたします<*2>","Pleased to meet you.<*2>"
475574,"ふむ かかってきたまえ<*2>","Hrm...come at me.<*2>"
475576,"なかなか いせいが いいじゃない<*2>","You seem a little strong.<*2>"
475578,"ワシと はリあうのは 53ねん
はやいわっ<*2>","You're 53 years too early to face me!<*2>"
475580,"ボクちゃんは つよいでチュよ<*2>","Beware, I'm vewy stwong.<*2>"
475582,"ふんっ せかいは ロボロボだんの
ために あるのだっ<*2>","The RoboRobo Gang will rule the world.<*2>"
475584,"ワシは みすみす やられは せんぞ<*2>","I won't be defeated so easily!<*2>"
475586,"われわれの じゃまをするものは
いかして かえさないわ<*2>","Those who get in our way will be dealt with.<*2>"
475588,"ボクちゃんと たたかうでチュ<*2>","Let's battle!<*2>"
475590,"さあっ ドーンと とびこんできなさい<*2>","Now let's jump right in.<*2>"
475592,"どれ まごのせいちょうでも
みてやるかの<*2>","I'll show you how much my grandchildren have grown.<*2>"
475594,"オレが かったら ヒヨコかってくれよ<*2>","If I win, you have to buy me a chick!<*2>"
475596,"わしが わかいころはだな
しつけが きびしくて・・・<*2>","Ever since I was a child,
I've been doing intense training..<*2>"
475598,"ひとと あらそうのって
あんまリすきじゃないわ<*2>","I never really liked fighting.<*2>"
475600,"メガネがないと
まえが みえないの・・・<*2>","I can't see without my glasses...<*2>"
475602,"ワシの しきぼうさばきを
みせてやるぞ<*2>","I will pass judgement on you with my
conductor's stick.<*2>"
475604,"さあっ ゆうひにむかって
はしるんだっ!<*2>","Now, let us run to the sunset!<*2>"
475606,"どっちが つよいか じっけんだ!<*2>","Let's see who's stronger!<*2>"
475608,"わたくしの あいてが
つとまリますかな？<*2>","Do you think you're good enough
to fight me?<*2>"
475610,"きみぃ ロボトルで わたしに
かてるつもリかい？<*2>","Do you really plan on
winning against me?<*2>"
475612,"オマエ タオス オレ チャンピオン<*2>","If I beat you, I become the champion.<*2>"
475614,"きさまヲ じくうノ はざまニ
とばしてクレルワ<*2>","I'll send you flying into
the space-time continuum!<*2>"
475616,"ウッ ウァオーン メダルが
つきにみえるぜ<*2>","Awoo Awooo! Medals look like...the mooon!<*2>"
475618,"オ オ オトモダチニ ナリマショウ<*2>","L-l-let's become friends..<*2>"
475620,"さあ! しょうぶだ!!<S78><*4>","Now! Let's battle!"
475622,"ハカイ・・・スル<*2>","Des...troy...<*2>"
475624,"<*2>",""
475626,"<*2>",""
475628,"<*2>",""
475630,"<*2>",""
475632,"<*2>",""
475634,"<*2>",""
475636,"<*2>",""
475638,"<*2>",""
475640,"<*2>",""
475642,"<*2>",""
475644,"<*2>",""
475646,"<*2>",""
475648,"せいぎも まけることが
あるであリますっ!<*2>","Even justice loses sometimes, sir!<*2>"
475650,"これは こまった まけたロボ<*2>","Uh oh! I lost, Robo!<*2>"
475652,"おぬし なかなか やるで ござるな<*2>","You did well to defeat me.<*2>"
475654,"このままでは すまさないからな<*2>","You haven't seen the last of me!<*2>"
475656,"チェッ シロウトだと
おもったんだけどな<*2>","Aww, I thought you were a beginner.<*2>"
475658,"これくらいで かんべんして
やるじゃんじゃん<*2>","I'll let you off easy this time, dude!<*2>"
475660,"ボトルロは むずかしいのぉ<*2>","Bottleros are hard to win...<*2>"
475662,"うえーーーっん まけたでチュ<*2>","Waaaah, I lost!<*2>"
475664,"なんか ゆるせないって カンジーッ<*2>","I, like, won't forgive you for this!<*2>"
475666,"あら ぼうや つよいじゃない<*2>","My, you're a strong one!<*2>"
475668,"てやんでぃっ もってけ どろぼうっ<*2>","Go on and take it, you thief!<*2>"
475670,"せっかく いいしゃしんが とれたと
おもったのに<*2>","Aww, I almost got a good one...<*2>"
475672,"みきっても かてないことも ある!<*2>","Sometimes knowing the strategy isn't enough!<*2>"
475674,"まけることも あるんべ<*2>","Ey, sometimes you lose, right?<*2>"
475676,"とあみが からまっただ<*2>","My net got tangled...<*2>"
475678,"おらの まけけぇ？<*2>","Whuzzat? I lost?<*2>"
475680,"もぐ もぐ まけもぐ<*2>","Dig dig dig, I lost...<*2>"
475682,"のらメダロットは にげていった!<*2>","The stray Medarot fled!<*2>"
475684,"のらメダロットは にげていった!<*2>","=0x74222"
475686,"<&NAME>ったら
なかなか やるじゃない<*2>","I knew you'd do well, <&NAME>.<*2>"
475688,"よそういじょうの ウデね ステキよ♥<*2>","You're stronger than I expected ♥!"
475690,"きょうは ちょうしが わるいらしいな<*2>","Seems I'm not at the top of my game today.<*2>"
475692,"あらーっ まけちゃったのねーっ<*2>","Ah I lost-!"
475694,"なんであんたなんかに まけちゃうの？<*2>","How could I lose?<*2>"
475696,"・・・・・・<*2>","......<*2>"
475698,"てっ てかげんしてやったんだよ!<*2>","I-I was just going easy on you!<*2>"
475700,"<&NAME>さん
あリがとうございました<*2>","Thank you, <&NAME>.<*2>"
475702,"なかなか やるではないか<*2>","You're pretty good.<*2>"
475704,"きょうの ところは ひいてあげるわ!<*2>","You got lucky today!<*2>"
475706,"ぬうっ このままでは すまさんぞっ<*2>","Nurgh...it can't end like this!<*2>"
475708,"うううっ こまったでチュ<*2>","Uuurgh this is bad!<*2>"
475710,"うっ うちゅうじんさまーっ<*2>","Masters! I've failed you!<*2>"
475712,"ぬうっ ひきあげじゃぁっ<*2>","Urgh, retreeeat!<*2>"
475714,"きょうの ところは かんべんして
あげるわ<*2>","I'll let you off easy this time.<*2>"
475716,"うううっ まけたでチュ<*2>","Ugh...I lost!<*2>"
475718,"こんなに リっぱになって
パパはうれしいぞっ<*2>","You've gotten very good! I'm proud of you!"
475720,"としよリには ちと きついのう<*2>","Don't be so hard on the elderly.<*2>"
475722,"きょうも いっぴきも うれなかったか<*2>","I can't sell one more chick today?<*2>"
475724,"・・・・・・ じだいが
かわったのかのぉ<*2>","Times really have changed, haven't they?<*2>"
475726,"こんかいのは おもしろかったわ<*2>","That was an interesting fight.<*2>"
475728,"あら・・・ ごめんなさいね
<&NAME>くん だったのね<*2>","Oh it was you, <&NAME>. Sorry about that!<*2>"
475730,"おんがくは いいなぁ<*2>","That was some good music!<*2>"
475732,"いいぞ いいぞぉっ!!<*2>","Good goood!!<*2>"
475734,"きみのほうが つよいと フムフム・・<*2>","You're pretty strong hrm hrm...<*2>"
475736,"こんかいは すなおに まけを
みとめましょう<*2>","I humbly accept defeat.<*2>"
475738,"ユーには まけたよ<*2>","I lost to you?!<*2>"
475740,"オマエ ツヨイ コレヤル ガンバレ<*2>","You're strong. Take this. Good luck.<*2>"
475742,"これデ かったト おもうなヨ<*2>","I thought I win this.<*2>"
475744,"ハアッ ハアッ まけちまったぜ<*2>","*pant* *pant* I lost.<*2>"
475746,"ダカラ オトモダチニ・・・<*2>",""
475748,"<*2>","<*2>"
475750,"バッ パッ ピッ
バカナーッ!!<*2>","Im-*boop* *beep* Impossible!<*2>"
475752,"<*2>","<*2>"
475754,"<*2>","=0x74268"
475756,"<*2>","=0x74268"
475758,"<*2>","=0x74268"
475760,"<*2>","=0x74268"
475762,"<*2>","=0x74268"
475764,"<*2>","=0x74268"
475766,"<*2>","=0x74268"
475768,"<*2>","=0x74268"
475770,"<*2>","=0x74268"
475772,"<*2>","=0x74268"
475774,"<*2>","0x74268"
475776,"<&NAME> は
てきに まけてしまった!<*2>","<&NAME> was defeated!<*2>"
475778,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475780,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475782,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475784,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475786,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475788,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475790,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475792,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475794,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475796,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475798,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475800,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475802,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475804,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475806,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475808,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475810,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475812,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475814,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475816,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475818,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475820,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475822,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475824,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475826,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475828,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475830,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475832,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475834,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475836,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475838,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475840,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475842,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475844,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
475846,"<&NAME> は
てきに まけてしまった!<*2>","=0x74280"
