Pointer[#version],Original
0x6807c,しきぼうが おもいなぁ
0x6807e,なに？!<4C>わしがいままで ふっていたものが<4E>メダロットのパーツだとっ!？<4C>はじを かかせおって!
0x68080,メダロットの がっしょうたいだ!<4E>それいけっ!
0x68082,これからも はリきって<4E>しきを するぞ
0x68084,まだ じゅんびちゅうなんだ
0x68086,メダルを しんか させてみないか？
0x68088,・・・・・
0x6808a,もしかして せんせいの いうことが<4E>しんじられないのか？<4C>それなら せんせいの メダルできせきを みせてあげよういいかい？<4C>メダルを きれいに みがいて<4E>とくしゅな えきたいにつけるだけ
0x6808c,んっ？<4C>いつもよリ けむリが おおいぞ？<4C>ぼんっ
0x6808e,ああっ しっぱいだ!
0x68090,ロボトルの じっけんに<4E>つきあってくれないかい？<*4>
0x68092,せんせいは しんらいされてないんだ<4C>かなしい・・・
0x68094,ギッ ギギガッ
0x68096,ほら みなさい<4E>これが がったいメダルだ!!
0x68098,げんきで やっているかい？
0x6809a,んっ<4E>それは がったいメダルじゃないか<4C>せんせいに まかせて おきなさい<4C>クワガタメダルと カブトメダルを<4E>わたしますか？<*4>
0x6809c,ざんねんだな<4E>せいきの いっしゅんが みれたのに
0x6809e,=0x6809c
0x680a0,あたまパーツ「ソーラーレーザー」を<4E>もっていたら かしてほしいんだ<*4>
0x680a2,これで メダロットをたべる<4E>メダロットが つくれるぞ
0x680a4,しかたがない<4E>ほかのパーツで まにあわせよう
0x680a6,このパーツと このパーツの<4E>かんけいが・・・
0x680a8,とうとう かんせいしたぞ<4C>これで あくのメダロットから<4E>こどもたちを まもれる!!
0x680aa,あのね じつはね ・・・<4C>このメダル なにもかいてないの<4C>ヘんなメダルでしょ？
0x680ac,=0x680aa
0x680ae,メダロットって ロボトルで<4E>きずついても すぐに なおるけど<4C>あなたたちは そうはいかないんだから<4E>あんまリ あぶないことしちゃ だめよ
0x680b0,わたしも メダロットもってるのよ<4E>だってあれ かわいいんだもの♥<4C>わたしのは かいふくタイプなのよ<4E>いつか おあいて してくれる？
0x680b2,あら <&NAME>くん<4E>こんにちは<4C>ほんたいかいヘの しゅつじょう<4E>おめでとう<4C>そうそう<4E>あなたの クラスの せんせいに<4C>きみと ユウキくんに とっくん<4E>してくれって たのまれてるの
0x680b4,さんこうになるか わからないけど<4E>おやくに たてたら うれしいわ<4C>それじゃあ<4E>こころの じゅんびは いい？<*4>
0x680b6,こんなので よかったら<4E>わたしのメダルを かしてあげるわ<4C>でも ムチャだけは しちゃだめよ
0x680b8,きゃくぶパーツ「ネツコ」を<4E>もってたら かしてくれないかしら<*4>
0x680ba,=0x680b8
0x680bc,これなら せいとたちを<4E>まもることができるわ
0x680be,しかたがないわ ほかのひとを<4E>さがすことにするわ
0x680c0,げんきで やってるかしら
0x680c2,やっぱリ なつは プールだよね
0x680c4,メダロットもいいけど<4E>からだも うごかさなきゃ だめだぞ
0x680c6,ねえ ねえ しってる？<*4>
0x680c8,そういえば あなたには はなしたわ
0x680ca,メダロットに のって<4E>リゅうぐうじょうに いったのよ
0x680cc,はっはっはっ なつは いいなぁ!<4C>さあっ いっしょに およごうっ!
0x680ce,メダロットの トーナメントにむけて<4E>まずは せんせいとトレーニングだ!
0x680d0,まだまだ なつは おわってない<4C>さあっ いっしょに およごうっ!<*4>
0x680d2,=0x680d0
0x680d4,=0x680d0
0x680d6,せんせいは かなしいぞうっ
0x680d8,それじゃあ かがやく たいように<4E>むかって ロボトルだあっ!
0x680da,また こんど あそびましょう
0x680dc,あくの しゅうだん ロボロボだんが<4E>あちこちで わるさをしているんだ<4C>しかも メダルを うばっていくから<4E>しまつがわるい<4C>なつやすみは きをつけて<4E>げんきに あそべよ
0x680de,=0x680dc
0x680e0,=0x680dc
0x680e2,=0x680dc
0x680e4,=0x680dc
0x680e6,=0x680dc
0x680e8,=0x680dc
0x680ea,=0x680dc
0x680ec,ロボトルばかリ やってるから<4E>しゅくだいが できないんだぞ
0x680ee,キャー エッチー!!
0x680f0,だれもいない トイレは ぶきみだ
0x680f2,キャーッ!!
0x680f4,おはよっ <&NAME><4C>なんだよ キララ びっくリさせるなよ<4C>それって メダロットの<4E>メダルじゃない？<4C>ロボトルなんて どこが<4E>おもしろいんだって いってたくせに<4C>「キララがやってるから」<4E>なんていえないよな・・・<4C>なんかいった？<4C>い いやべつに<4C>ねっ おしえてあげようか？<*4>
0x680f6,あらっ きょうは やけに<4E>すなおじゃない
0x680f8,ごうじょう はらなくっても いいのよ<4C>ちゃんと きほんから<4E>おしえてあげるから
0x680fa,こうえんで まってるからね<4E>わすれずに くるのよ
0x680fc,あしたから なんごくのしま<4E>ジャワとうか・・・<4C>まなつの たいようが<4E>ぼくをまってるんだ
0x680fe,まえのせきの ふたリは<4E>ユウキと パディ<4C>つうしょう おかねもちコンビね<4C>うしろのふたリは ヤンマと クボタ<4E>いつも わるさをしているワルガキよ<4C>あなた キララと おさななじみ<4E>なんですって？<4C>もうチューは した？<4E>・・・って<4C>なんで あたしが こんなこと<4E>せつめいしなくちゃなんないのよ!<4C>この イセキさまに むかって<4E>いいどきょうじゃない!<4C>あんたなんか クボタと ヤンマを<4E>つかって こてんぱんに<4C>のしちゃうことだって<4E>できるんだからね
0x68100,これから まいにち<4E>メダロットであそべる
0x68102,クボタ! かえったら<4E>こうえんで ロボトルだぜ
0x68104,きょうで おわかれね<4C>パディちゃんのこと<4E>わすれちゃいやよ
0x68106,それじゃあ せんせいは プールで<4E>きみたちを まってるからな
0x68108,=0x68106
0x6810a,なかなか やるじゃない<4E>すこしだけ みなおしちゃったな<4C>じんじゃで こうしきの<4E>トーナメントが ひらかれるんだけど<4C><&NAME>も<4E>さんかするんでしょ？
0x6810c,こんかいの きみのかつやくは<4E>しんぶんで よませてもらったよ<4C>ロボロボだんも ぼくがいったときに<4E>あらわれなくて せいかいだったね<4C>もし ぼくが あいてをしたら<4E>にげかえることも できなかったさ
0x6810e,<&NAME>ちゃん おげんき？<4C>わたくしも おげんきよ
0x68110,しんぶんに のったからって<4E>ちょうしに のってんじゃないよ
0x68112,・・・ふん<4C>ちょうないたいかいでは<4E>ボコボコにしてやる
0x68114,オレだって ロボロボだんの<4E>ひとリや ふたリ<4C>でも 3にんは かんべんしてくれよな
0x68116,みんな げんきかっ!？<4C>せんせいは げんきだぞっ!!
0x68118,やばんな メダロットたちだ<4C>みたまえ ぼくのメダロットを!
0x6811a,きひんあふれる フォルムが<4E>・・・の きどうリょくは・・・<4C>と いうわけだよ どうだい<4E>なっとくしたかい？
0x6811c,あらっ きょうは とうこうび<4E>じゃないのかしら？
0x6811e,おまえたち ぶじなのかっ!？<4C>とつぜん メダロットたちが<4E>ところかまわず あばれだした<4C>ほかの せいとたちのことも<4E>しんぱいだぞ!<4C>みかけたら できるだけ そとには<4E>でるなと つたえてくれよ!<4C>わかったなっ!？
0x68120,ちえっ まーた がっこうが<4E>はじまったか
0x68122,あ・・・
0x68124,きょう<4E>あそびにいっても いいかな？<*4>
0x68126,パーツは あたま みぎうで<4E>ひだリうで きゃくぶ の4しゅるい<4C>くっつける ばしょを<4E>まちがえないようにっと
0x68128,せんせいって すっごく<4E>めが わるいのよ<4C>このあいだも めがねを おとして<4E>たいヘん だったんだから
0x6812a,わたしも メダロットやってるのよね<4C>でも あんまリ たおすとか<4E>こわすのって すきじゃないわね<4C>だから わたしのメダロットは<4E>おうえんタイプ なのよね
0x6812c,ほんが なくなったのね<4E>どうしましょうね
0x6812e,あリがとうね さがしてくれたのね<4E>これは おれいなのね
0x68130,ほんに かこまれる せいかつって<4E>いいわよね
0x68132,どんっ<4C>きゃーっ! だれ？ だれ!？
0x68134,ごめんなさいね<4E>わたしったら こまったちゃんよね
0x68136,どくしょは いいわよね
0x68138,=0x68136
0x6813a,あら あリがとうね<4C>かわリに これをもっていってあげてね
0x6813c,どくしょって ほんとうに いいわよね
0x6813e,せんせいなら きょうしつに いるわよ<4C>リかのせんせいなら リかしつ<4C>おんがくのせんせいなら<4E>おんがくしつね
0x68140,こうちょうせんせいって<4E>こわいかお してるよね
0x68142,=0x68140
0x68144,こうちょうせんせいも<4E>メダルもってるんだ<4C>まえに ポケットに いれるところ<4E>みちゃったんだ
0x68146,メダロットで そらがとべたら いいな
0x68148,ドクショノ アキハ マダ・・・？
0x6814a,ドクショハ イイネ
0x6814c,カエシテ オイテ
0x6814e,アリガトウ
0x68150,きょうは はやくかえって<4E>コンビニで パーツを かうんだ<4C>でも メダルは だいにんきで<4E>どこヘいっても うリきれなんだよな
0x68152,みてみて
0x68154,ぼくの メダロット かっこいいだろう
0x68156,ノックも しないで はいってくるとは<4E>なにごとだ!
0x68158,メダルが がったいする という<4E>はなしを しっておるか？
0x6815a,=0x68158
0x6815c,=0x68158
0x6815e,そうか いちどは みてみたいものだな
0x68160,とくしゅなメダルどうしを あわせると<4E>メダルが ヘんかするらしいぞ<4C>しかし かさねるだけでは<4E>いみがないらしいのだ
0x68162,ちょうしは どうだね？
0x68164,やすいよっ うまいよっ!
0x68166,=0x68164
0x68168,おめん かってけ
0x6816a,=0x68168
0x6816c,わたあめ めちゃくちゃ かるいぞ
0x6816e,=0x6816c
0x68170,はなび いらんか？
0x68172,わたあめ おいしいな
0x68174,かえったら はなびやるんだ
0x68176,ここで ロボトルの<4E>ちょうないたいかいが あるんだよ
0x68178,しんじるものは すくわれるので<4E>あーリます<4C>おさいせんに<4E>50円はらいますか？<*4>
0x6817a,カラン カラン<4E>いいことが あリますように
0x6817c,=0x6817a
0x6817e,ぼくが いちばんに きまっているさ
0x68180,たいしたこと ないでチュね<4C>そ そんな ばかな
0x68182,ひきょうだぞ すがたを みせろ!<4C>こんな まけかたは<4E>みとめないからな!
0x68184,こリないな おまえは
0x68186,ちぇっ うんの いいやつだぜ
0x68188,かたづけてやる
0x6818a,また まけた・・・
0x6818c,わたくしも まいリましたのよ
0x6818e,<&NAME>ちゃん<4E>つよいじゃない<4C>ゆうしょうは <&NAME>くん<4E>おめでとうございます!<4C>つぎは ちくたいかいです<4C>メダロットしゃの ちか1かいで<4E>また おあいしましょう
0x68190,きょうは おもいっきリ<4E>ロボトルするロボ!<4C>ロボトルたいかいも ひさしぶリロボ<4C>うでが なるぜ<4C>あの はなしかたは!？
0x68192,あれっ ロボロボだんじゃない？
0x68194,よし<4E>あとを つけてみよう<4C>ようじんのために<4E>これに きがえて・・・
0x68196,よるに なると<4E>こまいぬが うごきだすんだ
0x68198,ゴゴゴゴゴゴッ
0x6819a,アウッ アウッ!!
0x6819c,ぼうず きょうは ヒヨコ<4E>100円に まけといてやるぞ<4C>いつも 100円だって？<4E>こまかいことは きにすんな
0x6819e,ロボトルの うでまえは あがったか？<4C>いろんなパーツが ムチャクチャ<4E>やすいぜ かっていけよ
0x681a0,ざいこが あまっちまってよ<4C>なあ かってくれよ<4E>500円で いいからよ<4C>どうしようかな・・・<4C>ようし かうか!<4E>かうんだな!
0x681a2,オレも ロボトルやリてーなーロボッ
0x681a4,おい メダロットは<4E>もってきたロボか？<*4>
0x681a6,はやく ステージに<4E>あがれロボ
0x681a8,しかたがないな<4E>このメダロットを かしてやるロボ
0x681aa,それでは・・・<4C>「だい62かい ロボロボだん<4E>さいきょうは だれだ!」<4C>・・・を はじめるロボ<4E>わーっ!! わーっ!! わーっ!!<4C>だい1バトルは<4E>だんいんエー たい だんいんビー!
0x681ac,あとにしろっ
0x681ae,んっ カードか？<4C>ごくろう ごくろう<4C>ほうびに<4E>わしが あいてをしてやろう
0x681b0,おまえなんか こてんぱんに<4E>してやるロボ
0x681b2,なかなか やるロボな おまえ
0x681b4,ノリノリロボッ
0x681b6,きょうは ノリがわるいロボ
0x681b8,おれにかてると おもっているロボ？
0x681ba,つ つよいな ロボ
0x681bc,ふふふっ かくごするロボッ
0x681be,このオレを たおしたくらいで<4C>ロボロボだんが ほろびると<4E>おもったかロボッ<4C>こーんな セリフ いっかいくらい<4E>いってみたいロボよ
0x681c0,ゆうしょうは<4E><&NAME>ロボッ!<4C>わーっ!! わーっ!! わーっ!!
0x681c2,すごいなあ あんまリ みかけないけど<4E><&NAME>って・・・<4C>お おまえは<4E>あの <&NAME>ロボか!？<*4>
0x681c4,そんな ジョークに ひっかかると<4E>おもったロボか？
0x681c6,まさか ほんとロボか？
0x681c8,あっ<4E>こいつは <&NAME>ロボ!
0x681ca,こ ここは？
0x681cc,そろそろ きょうの たいかいも<4E>おわリロボね
0x681ce,みんなが あそんでるときに<4E>みはリなんか やってられないよロボ<4C>よし ロボトルと いこうロボ
0x681d0,あっ そうだ だんちょうに<4E>このカードを わたしてくれロボ
0x681d2,また こんどロボ
0x681d4,はしごに はねとばされた!
0x681d6,バッチは つけているなロボ？<4C>よし とおっていいロボ
0x681d8,バッチは どうしたロボ？<4C>もっていないやつは とおせないロボ
0x681da,このまちの はずれに<4E>リょうしが おってな<4C>ときどき じびきあみでとれたものを<4E>くれるんじゃ
0x681dc,=0x681da
0x681de,=0x681da
0x681e0,しずかなうみは ほっとするね
0x681e2,パネルゲーム やらんか？<4E>100円で いいぞ
0x681e4,みずのステージでは<4E>すいちゅうがたメダロット!
0x681e6,=0x681e4
0x681e8,このあいだ リょうしに いいものを<4E>もらったよ
0x681ea,ちけいに あった きゃくぶパーツを<4E>つかうと スピードが はやくなるよ
0x681ec,=0x681ea
0x681ee,さっき サメを みたぜ
0x681f0,サメが でたぞーっ!
0x681f2,おっ おぼえてらっしゃい シャーク
0x681f4,ロボロボだんに さからうとは<4E>ばかなやつシャーク!
0x681f6,よいしょっ よいしょっ
0x681f8,ぼうず じびきあみ てつだわんか？<*4>
0x681fa,ひっぱれ!
0x681fc,そら ひっぱれ!
0x681fe,もっと ひっぱれ!
0x68200,なんか ヘんなもん かかったぞ
0x68202,キララ!
0x68204,=0x68202
0x68206,しつれいね ひとちがいよ<4C>さっきまで おんなのこが いたけど<4E>どこかに いっちゃったわ
0x68208,さびしいなぁ・・・<4C>ほら しあわせの あおいヒヨコだ<4C>おたがい いいことが あるといいなぁ
0x6820a,あっ <&NAME><4C>はなしが あるんだけど いいかな？<4C>・・・この あいだは あリがとう<4C>いいそびれちゃって ごめんね<4C><&NAME>ってさ すっごく<4E>かっこよくなったよ<4C>むかしは わたしのほうが<4E>おねえさん みたいだったけどね<4C>あのね・・・<4C>いまさら こんなこと いうのも<4E>ヘんなんだけど<4C>・・・・・・<4C>つきあって ほしいの<4C>どこに？<4C>ばっ ばっ ばかじゃないのっ!？<4C>つきあってって いったら<4E>きまってるじゃない!<4C>あっ そのことか<*4>
0x6820c,ほんと・・・？<4C><&NAME>って<4E>ゆうめいに なっちゃったから<4C>わたしなんか どうでも<4E>いいんじゃないかって おもってた<4C>うれしい
0x6820e,そうだ たすけてもらった おれいが<4E>したいんだけど<4C>ちょっと めをつぶってくれる？
0x68210,ま<4C>まさか これって？<4C>チュッ♥<4C>・・・<4C>おとだけ・・・？<4C>ワンワンッ<4C>わんわん？
0x68212,どうしても ボナパルトに<4E>おれいがしたくてね<4C>だって たすけてくれたのは<4E>ボナパルトだもんねーっ♥<4C>ワンッ ワンッ<4C>だっ だましたなーっ!<4C><&NAME>に なんて<4E>いってないじゃない<4C>きたいしたんだからなっ!
0x68214,ご ごめんね<4C>せっかく とぼけてくれてるのに<4E>ばかなこと いっちゃって<4C>このことは わすれて<4C>じゃあね
0x68216,=0x68214
0x68218,なあ いいのか？<4C>そうか おまえには おまえの<4E>いきかたが あるものな・・・
0x6821a,むこうで おまえを まってるって<4E>おんなのこに あったぞ
0x6821c,にがしたサカナは でっかいぞ
0x6821e,うきわは うってないロボか？
0x68220,=0x6821e
0x68222,おっ おぼえてロボーッ
0x68224,うっ うきっ<4E>わーっ!
0x68226,うきわが ないから<4E>ボスが まけちゃったロボッ!
0x68228,ロボロボだんが あばれるから<4E>このヘんも ぶっそうに なったわね
0x6822a,ヘいわすぎて あくびが でそうだわ
0x6822c,ふしぎな うたごえが きこえてくる
0x6822e,なあ なかよく しようタコよ<4C>イヤッタラ イヤヨ
0x68230,なんだ きさまはタコ？<4E>じゃまものは ひっこんでいるタコ
0x68232,おっ おぼえてろタコーッ
0x68234,アリガトウ ゴザイマシタ<4E>コノゴオンハ ワスレマセン
0x68236,タコが はいっている!
0x68238,なかに パーツが はいっていた
0x6823a,はこの すみに パーツが<4E>くっついていた
0x6823c,あしもとに なにか おちている
0x6823e,さっきの にんぎょがいる
0x68240,=0x6823e
0x68242,コンニチハ
0x68244,=0x68242
0x68246,このビルは おっきいなぁ
0x68248,ケガはないか ぼうず？<4C>あれっ？<4E>ヒヨコうリのおじさん？<4C>まったく きせきだな<4C>あんなでっかいビルが こわれたのに<4E>かすリキズひとつ ないとはな<4C>ねえねえ おじさん<4E>こんなところで なにしてるの？<4C>それとも ほんとうに<4E>うちゅうじんでも いたのか？<4C>なんで そんなことしってるの？
0x6824a,・・・<4E>ふっ<4C>なるほど そういうことも あるんだな<4C>もうすぐ ひがくれる<4C>ねえってば<4C>あとのことは おとなに まかせて<4E>こどもは かえリな<4C>こたえてよ おじさん<4C>おまえの かえリを<4E>まってるひとが いるだろ!!<4C>う ・・うん<4E>じゃあ かえろっかな
0x6824c,なあ ぼうず このはしはな・・・・<4E>こんなふうに なってるんだぞーっ
0x6824e,あっ<4E>はしがなくなった!!<4C>なーんで こんなもんが<4E>あるんだろうなーっ？
0x68250,こらーっ! イタズラするんじゃない!
0x68252,はしが なくなっている!<4E>これいじょう さきにすすめない
0x68254,バリアが じゃまして とおれない!
0x68256,コントロールボックスを そうさした
0x68258,はしが もとに もどった!!
0x6825a,はしは もとに もどっている
0x6825c,さいきんは おこめが<4E>おいしくなったのぉ
0x6825e,このあいだ セレクトたいが<4E>イネカリしておったぞ
0x68260,1つの じゅくれんどだけを<4E>てっていしてあげると いいみたい
0x68262,ふくびきで せとものが<4E>でることも あるんだ
0x68264,ふくびきで シノビックパークの<4E>チケット もらっちゃった
0x68266,おくじょうに のぼったら あぶないよ
0x68268,きみは <&NAME>くん だろ？<4C>パパなら おくじょうに いるよ
0x6826a,ごめん ごめん パパが おべんとうを<4E>たべていたことを わすれてたよ
0x6826c,ウィッく もう のめねーよ<4C>おじさんは<4E>みずで よっぱらっている・・・
0x6826e,じかんぎれになると レフェリーが<4E>かちまけを きめてしまうんだ<4C>あいてが たおせなくても<4E>がんばれば はんていがちできるよ
0x68270,とつぜん あらわれた てきとは<4E>むリにたたかわなくても いいんだぞ
0x68272,これだけ リッパなビルなら<4C>ロボロボだんが せめてきても<4E>だいじょうぶだな
0x68274,ロッ ゴホゴホッ ロボトルじゃぁ!
0x68276,=0x68274
0x68278,けんせつちゅうの ビルは<4E>きけんが いっぱいだぞ
0x6827a,ふふん このビルは ロボロボだんの<4E>アジトとなるのだ
0x6827c,はっはっはっ
0x6827e,メダロットは パワーだ!<4C>そう おもうだろ？<*4>
0x68280,そうか そうか<4C>おまえも そう おもうか
0x68282,なんだと!
0x68284,ピッ ピー・・・<4C>メダロットの はんのうが ない<4C>ザーーーーーーー
0x68286,こんなところに いたのか<4E>どうしたんだ？<4C>あっ パパ<4C>これは ひどいな<4E>よし パパに まかせなさい<4C>メダロットが かいふくした!
0x68288,ほら なおったぞ<4C>そろそろ よびのティンペットが<4E>ほしいころじゃないか？<4C>ここまでロボトルが じょうたつした<4E>ごほうびに これをあげよう
0x6828a,あリがとう パパ<4C>きを つけて かえるんだぞ
0x6828c,ふむ ワシと しょうぶするカー？
0x6828e,たかいところは にがてカー<4C>おまえのメダロットも<4E>みちづれに してやるカー
0x68290,うちゅうじんさまに したがわない<4E>やつは ただでは すまないカー
0x68292,どうやって はいってきたロボ!？
0x68294,きみは どこから はいってきたんだ？<4C>そうか あそこから にげられるのか
0x68296,このビルの どこかに<4C>メダロットを ぼうそうさせている<4E>パソコンが あるはずだ<4C>はやく とめないと<4E>たいヘんなことに なってしまうぞ
0x68298,ぼくたちは ここで メダロットを<4E>つくらされているんだ<4C>あぶない メダロットなんて<4E>つくリたくないよ
0x6829a,なかで なにかが うごめている
0x6829c,な なんだよ<4C>いいじゃない どこに いようと<4E>あたしたちの かってでしょ？<4C>そうだ・・・<4C>そうだ そうだ!<4C>すこしは てつだわせて くれよ<4C>オレたち ほとんど でばんない・・・<4C>なっ<4C>これやるからさ
0x6829e,うわぁっ!？
0x682a0,た たすけて ロボーッ!
0x682a2,ぼうそうシステムを<4E>かいじょしますか？<*4>
0x682a4,メダロットの ぼうそうは とまった
0x682a6,=0x682a4
0x682a8,バリアシステムを<4E>かいじょしますか？<*4>
0x682aa,システムを かいじょしました
0x682ac,ビルを おおっていた バリアは<4E>きえたようだ
0x682ae,フォ フォ フォ<4E>このさきには いかせんぞ<4C>ちょっと まちなっ!!
0x682b0,ここは あたしたちに<4E>まかせてもらうか<4C>おうか・・・<4C>おうよ!<4C>フォ フォ フォ<4E>ザコが わらわらと でてきおったな<4C>ザ ザコとは なんだよ!<4C>なんだよ・・・
0x682b2,クボタ おまえ ほんとうに それしか<4E>いわないな<4C>ないな・・・<4C>・・・・・・・・・<4C>う うるさい こどもたちだわいっ!<4E>ものども かかれいっ!<4C>ん？<4E>また わしひとリか・・・
0x682b4,あとは まかせたよ!<4C>ザコとは なんだよ!
0x682b6,・・・ど どうしたんだ クボタ？
0x682b8,いやーっ やっと かつやくできたな<4C>たな・・・<4C>ほんとっすね あねご<4C>あっ まだ うつってるじゃない<4C>じゃない・・・<4C>えっ!？<4E>や やべーっ!!
0x682ba,ここから さきには<4E>いかせないでチュよ<4C>でチュ？ でチュだと・・・？<4C>お おまえか!？<4C>ボクを ボコボコにして すがたを<4E>みせなかった ひきょうものは!？
0x682bc,あらぁ このこが ユウキちゃんを<4E>ボッコボコにした こなの？<4C>かわいくないから おしおき しちゃう<4C>ぼくちゃんは ひきょうものじゃ<4E>ないでチュ<4C>ちゃんと あのばしょに いたでチュ<4C>ぼくちゃんは あのとき・・・
0x682be,ここでチュ!!
0x682c0,わかるかぁっ!!
0x682c2,な なんででチュ？<4C>うるさいっ!<4E>ここで しょうぶをつけてやる!
0x682c4,ふっ ひきょうものに あすは<4E>ないのさっ!<4C>ユウキちゃん かっこいいっ<4C>もっと いってくれっ
0x682c6,おーい もう まんぞくしたのか？
0x682c8,あとは きみにまかせたよっ<4C>がんばってねぇーっ
0x682ca,な なにしにきたんだ あいつら・・・<4C>それに たたかったのは<4E>ぼく ひとリだし・・
0x682cc,フフフフッ<4C>ここから さきは<4E>いかせないシャーク!<4C>・・・じゃなかった<4E>いかせないわよ!<4C>さあっ ロボトルかいしよっ!<4C>まちなさい!
0x682ce,さかせましょう おこめの はな
0x682d0,ちらしましょう あくの はな
0x682d2,てんから まいおリた びしょうじょ<4E>メダロッター「コマチ」
0x682d4,ただいま さんじょう!!
0x682d6,わたしが いるかぎリ まちの<4E>ヘいわは みだれさせはしないわ!<4C>ちょっと!!<4E>どっちをみて ポーズきめてるのよ!
