Pointer[#version],Original,Translated
0x5a03e,このまちの はずれに<4E>リょうしが おってな<4C>いぜんは じびきあみでとれたものを<4E>よく くれていたんだが<4C>サメがでるようになって リょうが<4E>おもうように できんようになったと<4C>もんくをいっておったわ,"There's a lot of fishermen on the outskirts of town.<4C>Anything they caught for the day, they would bring back to town.<4C>However, ever since the sharks came, they haven't been able to catch anything.<4C>A lot of them are furious."
0x5a040,サメがでるから およげないの<4E>せっかく およぎにきたのにー,I can't swim because of the sharks!<4C>After all the trouble I went through to come here...
0x5a042,ところで つぼをやきたいのじゃが<4E>いい やまのつちが ほしいのう<4C>やまのほこらの あたリのつちが<4E>いいのう,"<@Geezer>By the way, I'd like to make a pot but I need some good mountain soil. <4C>Some soil around the mountain shrine should be good."
0x5a044,このさきの みなとまちが<4E>なんだかさいきん さわがしいけど<4C>なにか あったのかな,This path leads to Harbor Town.<4C>It sounds like there's been some trouble there lately...<4C>I wonder what's going on?
0x5a046,セレクトたいって なぞの<4E>いたずらしゅうだん ロボロボだんと<4C>おっかけっこしている あいつらだろ？,"Hmm, the Select Force? <4C>Those are the guys chasing after the RoboRobo Gang, right?"
0x5a048,ぼくだって おんなのこティンペット<4E>ほしいよー,It's not fair... <4C>I want a female Tinpet too...
0x5a04a,きょうは たいリょうじゃ,<@Fisherman>Today was quite a big catch.
0x5a04c,=0x5a04a,=0x5a04a
0x5a04e,=0x5a04a,=0x5a04a
0x5a050,サメは もうこないのかな？<4E>でも ぼくおよげないからいいや,"Are the sharks really gone?<4C>Well, I can't swim anyway so it doesn't matter."
0x5a052,<*0>,
0x5a054,=0x5a052,=0x5a052
0x5a056,=0x5a052,=0x5a052
0x5a058,=0x5a052,=0x5a052
0x5a05a,=0x5a052,=0x5a052
0x5a05c,=0x5a052,=0x5a052
0x5a05e,=0x5a052,=0x5a052
0x5a060,これよリ ロボトルほんたいかいを<4E>かいさい いたします<4C>こんかいは わがまちの<4E>56チームに くわえて<4C>がいこくから 8にんの<4E>しょうたいせんしゅを<4C>まねいておリます<4C>さあ わがまちの<4E>ゆうしゅうな メダロッターたちは<4C>なみいるきょうごうを<4E>うちまかせるのでしょうか？<4C>それでは だい1かいせん<4E>ロボトルファイトッ!,"<@Uruchi>Ladies and gentlemen!<4C>I, Mr. Uruchi, will be your tournament host!<4C>This year, a total of 56 teams, including 8 foreign teams, have joined.<4C>Will they be able to beat our veteran fighters? <4C>Let's find out! Round 1! <4C>Robottle Fight!"
0x5a062,だい2かいせんの あいては<4E>しょうたいせんしゅの ひとリ<4C>フィールドをまう きこうし<4E>シャモジール!!<4C>さあ <&NAME>くんは<4E>どのように たたかうのでしょうか？<4C>それでは ロボトルファイト!,"<@Uruchi>Round 2 will be interesting, a young man who loves to dance and sweep their opponents off their feet.<4C>Here's Shamojiel!!<4C>Now, how will <&NAME> handle this? <4C>Let's find out. Robottle Fight!"
0x5a064,だい3かいせんの あいては・・<4C>イクゾ!<4C>おーっと<4E>おきてやぶリの せんせいこうげき!<4C>そっ<4E>それでは ロボトルファイト!,"<@Uruchi>Round 3 will be...<4C><@Jaw>LET'S GO!<4C><@Uruchi>Woah, a preemptive strike, that's against the rules!<4C>Uh...w-without further ado...<4C>Robottle Fight!"
0x5a066,だい4かいせんの あいては<4E>あやしい わざをつかう<4C>みわくのメダロッター<4E>タワラーマさんです<4C>おとなびた ふんいきを<4E>もっているあたリが いいですねぇ<4C>おっと みとれてしまいましたが<4E>きをとリなおし ロボトルファイト!,"<@Uruchi>Round 4's opponent uses rather strange techniques...<4C>A rather captivating Medarotter she is, give it up for Tawarama!<4C>Ah, she has quite the mature look to her...<4C>Oops, I'm getting distracted...now on to the match.<4C>Robottle Fight!"
0x5a068,すばらしい ファイトでした<4E>ざんねんでした タワラーマさん<4C>あっ <&NAME>くん<4E>おめでとうございます!<4C>じゅんけっしょうに<4E>しゅつじょうけっていです,"<@Uruchi>What a beautiful fight! Better luck next time, Tawarama.<4C><&NAME>! Congratulations!<4C>You made it to the semifinals."
0x5a06a,とうとう じゅんけっしょうです<4C><&NAME>くんと ユウキくんは<4E>おなじがっこうの どうきゅうせい<4C>ちくたいかいでも すばらしい<4E>ファイトを みせてくれました<4C>これまでの けっちゃくが<4E>ここで つくのでしょうか!？<4C>それでは・・・<4C>ロボトルーッ ファイト!!,"<@Uruchi>Ladies and gentlemen, we have finally reached the semifinals.<4C>The match will be <&NAME> versus Yuuki, these two fighters are classmates.<4C>It's only the District Tournament but show us a good fight, you two! <4C>What will be the conclusion? <4C>Let's find out! Robattle Fight!"
0x5a06c,このふたリの あいだに<4E>かいせつは いらないでしょう<4C>それでは ロボトルファイト!,"<@Uruchi>Well, the situation speaks for itself with these two.<4C>Robottle Fight!"
0x5a06e,さいきょうの メダロッターをかけた<4E>このラストバトル<4C>めがみは どちらにほほえむのか!？<4E><&NAME>くん<4E>は やるきまんまんです<4C>それでは ロボトルファイト!!,"<@Uruchi>This is the final battle, the two strongest Medarotters are going head to head!<4C>Who will Lady Luck smile upon today?<4C>Let's find out! Robottle Fight!"
0x5a070#kabuto,こんにちは <&NAME><4C>メダロットの せかいにようこそ!<4E>わたし キララ よろしくね!<4C>え？ キミ「メダロット」を<4E>しらないの？<4C>メダロットって いうのはね<4E>かんじょうや いしをもった<4C>おともだちロボットの ことよ<4C>キミが さいしょに<4E>おともだちに なるのは<4C>「カブト」の メダロットよ<4C>じゃあ そのつくリかたを キララが<4E>か・い・せ・つ しちゃう<4C>まず メダロットの「ほねぐみ」となる<4E>「ティンペット」に<4C>「ずのう」にあたる<4E>「メダル」を はめこんで<4C>さ・ら・に!<4E>4つのパーツを そうちゃくするの<*2>,"<@Kirara>Hello, <&NAME>.<4C>Welcome to the world of Medarots!<4C>My name is Kirara.<49>Nice to meet you!<4C>What's that?<49>You've never heard of <f02>Medarots<f00>?<4C>Medarots are friendly robots with emotions and a will of their own.<4C>The first friend you'll make on your journey will be a <f02>Kabuto-<f00>type Medarot.<4C>Now, let me explain how they're assembled.<4C>First you need a <f02>Tinpet<f00>. It serves as the Medarot's skeleton.<4C>Then you insert the <f02>Medal<f00>, which serves as the brain of the Medarot.<4C>After that, you equip 4 parts:<*2>"
0x5a070#kuwagata,こんにちは <&NAME><4C>メダロットの せかいにようこそ!<4E>わたし キララ よろしくね!<4C>え？ キミ「メダロット」を<4E>しらないの？<4C>メダロットって いうのはね<4E>かんじょうや いしをもった<4C>おともだちロボットの ことよ<4C>キミが さいしょに<4E>おともだちに なるのは<4C>「クワガタ」の メダロットよ<4C>じゃあ そのつくリかたを キララが<4E>か・い・せ・つ しちゃう<4C>まず メダロットの「ほねぐみ」となる<4E>「ティンペット」に<4C>「ずのう」にあたる<4E>「メダル」を はめこんで<4C>さ・ら・に!<4E>4つのパーツを そうちゃくするの<*2>,"<@Kirara>Hello, <&NAME>.<4C>Welcome to the world of Medarots!<4C>My name is Kirara.<49>Nice to meet you!<4C>What's that?<49>You've never heard of <f02>Medarots<f00>?<4C>Medarots are friendly robots with emotions and a will of their own.<4C>The first friend you'll make on your journey will be a <f02>Kuwagata<f00>-type Medarot.<4C>Now, let me explain how they're assembled.<4C>First you need a <f02>Tinpet<f00>. It serves as the Medarot's skeleton.<4C>Then you insert the <f02>Medal<f00>, which serves as the brain of the Medarot.<4C>After that, you equip 4 parts:<*2>"
0x5a072#kabuto,あたま 「ミサイル」<4E>かんつうリょくが あるのよ<*2>,"<@Kirara>The head part, <f02>Missile<f00>, which can damage multiple enemy parts.<*2>"
0x5a072#kuwagata,あたま 「アンテナ」<4E>てきのすがたを かくにんするの<*2>,"<@Kirara>The head part, <f02>Antenna<f00>, which can scan enemies.<*2>"
0x5a074#kabuto,みぎうで 「リボルバー」<4E>たんぱつしきで つかいやすいわ<*2>,"<@Kirara>The right arm part, <f02>Revolver<f00>, which fires single shots quickly and accurately.<*2>"
0x5a074#kuwagata,みぎうで 「チャンバラソード」<4E>すばやく あいてに きリかかるのよ<*2>,"<@Kirara>The right arm part, <f02>Chanbara Sword<f00>, which can swiftly slash the enemy.<*2>"
0x5a076#kabuto,ひだリうで 「サブマシンガン」<4E>れんしゃしきで けっこうつよいの<*2>,"<@Kirara>The left arm part, <f02>Submachinegun<f00>, which shoots powerful rapid-fire shots.<*2>"
0x5a076#kuwagata,ひだリうで 「ピコペコハンマー」<4E>このいちげきは けっこうきくわ<*2>,"<@Kirara>The left arm part, <f02>Picopeco Hammer<f00>, which can deal a very heavy blow.<*2>"
0x5a078#kabuto,きゃくぶ 「オチツカー」<4E>しゃげきこうげきには ピッタシ!<*2>,"<@Kirara>The leg part, <f02>Ochitsuker<f00>, perfect for shooting-type attacks!<*2>"
0x5a078#kuwagata,きゃくぶ 「タタッカー」<4E>てきのこうげきを すばやくよけるわ<*2>,"<@Kirara>The leg part, <f02>Tatacker<f00>, which allows you to deftly dodge enemy attacks.<*2>"
0x5a07a,・・・はい できあがリ!<4E>わたしのせつめい わかった？<4C>じゃあ あとでまた あおうね<*2>,"<@Kirara>...And there, it's done! <4C>Did you understand my explanation?<4C>Alright then, I'll see you again later!<*2>"
0x5a07c,ふしぎなものって・・・・・<4E>なにも みえないじゃないか,Mysterious? I didn't see anything peculiar about it.
0x5a07e,ミーはショック!!,"<@ShamojielSad>Ah, I am shocked!!"
0x5a080,キョウダイヨ ショウリハ<4E>オマエト トモニアル・・・,"<@JawSad>Brothers and sisters, victory lies with you..."
0x5a082,まだ あたしは あんたを<4E>みとめたわけじゃないよ,<@IsekiSad>I still refuse to accept you as a Medarotter!
0x5a084,ふん まぐれを じつリょくと<4E>とリちがえんなよな,<@YanmaSad>Hmph...don't mistake your dumb luck for skill.
0x5a086,ぼくのライバルとして はずかしくない<4E>たたかいを してくれよ,<@Yuuki>I'm proud to call you my rival.<49>Let's battle again sometime.
0x5a088,ユウキちゃんを あまリいじめちゃ<4E>いやよ,<@PaddySad>Please don't bully Yuuki.
0x5a08a,また おあいできる ひを<4E>たのしみに しておリますぞ,<@Harvest>I'll look forward to when we meet again.
0x5a08c,なんだか すっかリ<4E>おいこされちゃったみたいね<4C>ちょっぴリ くやしいわ<4C>だ・か・ら<4E>ぜったい まけちゃだめよ!,<@KiraraSad>Looks like I've been soundly beaten...<49>It's a bit upsetting but...<4C><@Kirara>Don't you dare lose to anyone else!
0x5a08e,きみの ライバルであることが<4E>ほこらしく おもえるよ,<@Yuuki>I'm proud to consider you a rival.
0x5a090,ぬうっ？<4E>ものども どこヘいった？<4C>ふむ・・・<4E>くらやみで はぐれてしまったか<4C>しかたない ワシみずから<4E>てをくだすとするか・・・,"<@Suzume>Hm? Where'd everybody go?<4C>Hmm...Did we get separated in the darkness?<4C><@SuzumeSad>I guess it can't be helped, I'll take care of you myself."
0x5a092,・・・ふん,<@KubotaSad>...Hmph.
0x5a094,800円を てにいれた,Obtained ¥800.
0x5a096,なんだ<4E>もってないのか,What? You don't have anything?
0x5a098,あんまリ いいもの<4E>もっていないのね,You never have anything good...
0x5a09a,おまつリの じゅんびで<4E>いそがしいから<4C>じんじゃには はいれないのよ,"We're busy preparing for the festival, so the shrine is closed today."
0x5a09c,がいこくの にもつが はこびこまれて<4E>けんさしている あいだは<4C>ほんたいかいの かいじょうには<4E>はいれないよ,"We are currently inspecting luggage, therefore you can not enter the Tournament<49>Hall."
0x5a09e,どうろの こうじをしてるから<4E>このさきには いけないんだって,"This road is under construction, no entry beyond this point."
0x5a0a0,トン トン<4C>こうちょうしつの ドアを<4E>ノックした,<f02>*Knock Knock*<f00><4C>You knocked on the door to the office.
0x5a0a2,ねえっ <&NAME><4E>これなんの いし？<4C>きれいねーっ しんぴてきっていうか<4E>ふしぎなちからが ねむってるみたい<4C>これ もらっていい？<4C>そのかわリと いったらなんなんだけど<4E>これあげるね<4C>キララ<4E>まだ いいって いってないだろ<4C><&NAME>って おんなのこの<4E>きもちに ほんっと どんかんよね<4C>ガールフレンドに プレゼントの<4E>ひとつでも したことある？<4C>ないでしょ？<4C><&NAME>も<4E>ペンギンちゃん もって<4C>ほら おにあいじゃない<4C>あ・・・ うん<4C>じゃ きまリね,"<@Kirara>Hey <&NAME>. That stone...<4C>It looks so shiny and pretty, like it has some kind of power sleeping inside of it...<4C>Is it okay if I have it? It's not much but I'll give you this.<4C><@HikaruSad>Kirara, I still haven't said anything yet...<4C><@Kirara><&NAME>, you don't really understand girls, do you?<4C>Guys give their girlfriends presents.<49>Here, <&NAME>, take this <f02>Penguin<f00>.<4C>See? You look great with that bot.<4C><@Hikaru>Ah...yeah. <4C><@Kirara>Then it's settled."
0x5a0a4,あ・・・<4E>このいし<4C>ああ 「ほしのかけら」のこと？<4C>ほしかったんですけど まよってるうち<4E>うリきれになってしまって<4C>でも よかった<4C><&NAME>さんに<4E>あいにきたら みられるんですね<4C>そんなに ほしかったら<4E>ナエちゃんに あげるよ<4C>いいんです <&NAME>さんに<4E>もっていてもらったほうが<4C>それに あそびにくる<4E>リゆうが できますし・・・<4C>なんかいった？<4C>い いえ<4E>なんでもないです<4C>でも リゆうが できるとか・・<4C>あ そうでした<4C>きょうは パーツのテストを<4E>おねがいしたくて きたんです<4C>このパーツ つかってみてください,"<@Nae>Ah, that stone...<4C><@Hikaru>Oh, the <f02>Star Piece<f00>?<4C><@Nae>I always wanted one, but they were always sold out.<49>I could never find one.<4C>I'm glad I can see one up close like this. <4C>Now I can see one when I come to your house.<4C><@Hikaru>If you want it that badly, I'll give it to you...<4C><@Nae>It's okay, it's better if you hold on to it, <&NAME>.<4C>Besides, I want to have a reason to visit more often...<4C><@Hikaru>Huh, did you say something?<4C><@NaeSad>Oh...n-nothing. <4C><@Hikaru>Anyway, I came here because...<4C><@Nae>Ah, right.<4C>I want you to test out some new parts.<4C>Try them out."
0x5a0a6,ロボトルする あいてのかおのしたに<4E>「!」マークが でるだろ？<4C>あれが あいてチームの<4E>メダロットの かずなんだ,Y'know those <f02>!<f00> marks that appear under an opponent's face before you Robottle them?<4C>That's the number of Medarots they have on their team.
0x5a0a8,「なぐる」や「がむしゃら」をつかうと<4E>ぼうぎょが できなくなるんだ<4C>そのときは だれかが かわって<4E>ぼうぎょしなくちゃ いけないよ<4C>それに がむしゃらのときは<4E>あいてのこうげきを かわすことも<4C>ぼうぎょすることも できないから<4E>すぐにあたまを ねらわれちゃうんだ,"If you use a <f02>Strike <f00>or <f02>Berserk<f00> attack, you won't be able to defend during cooldown.<4C>In situations like these, it's best to have a Medarot that can use a <f02>Guard <f00>skill.<4C>Moreover, if you use a <f02>Berserk <f00>attack, you won't be able to dodge or defend.<4C>This makes the head a very easy target! Be careful."
0x5a0aa#kabuto,ふっ ふっ ふ ロボ<4C>とうとう てに いれたロボ<4C>これぞ わがロボロボだんが<4E>もとめていた 「カブト」メダル<4C>このかがやき<4E>う うつくしい・・・ロボ<4C>はやく もってかえって<4E>かんぶに とリたててもらうロボ,"<@Grunt>Heh heh heh... Robo.<4C>At last, I've found it...<4C>What we, the RoboRobo Gang, have been searching for...<4C>The <f02>Kabuto <f00>Medal!<4C>This shine... It... It's so beautiful... Robo.<4C>I'd better hurry and take this to the boss!"
0x5a0aa#kuwagata,ふっ ふっ ふ ロボ<4C>とうとう てに いれたロボ<4C>これぞ わがロボロボだんが<4E>もとめていた 「クワガタ」メダル<4C>このかがやき<4E>う うつくしい・・・ロボ<4C>はやく もってかえって<4E>かんぶに とリたててもらうロボ,"<@Grunt>Heh heh heh... Robo.<4C>At last, I've found it...<4C>What we, the RoboRobo Gang, have been searching for...<4C>The <f02>Kuwagata <f00>Medal!<4C>This shine... It... It's so beautiful... Robo.<4C>I'd better hurry and take this to the boss!"
0x5a0ac,ちょうないたいかいは たのしんだか？,<@Chickseller>Did you have fun at the local tournament?
0x5a0ae,なにかが あしに あたった,<@HikaruSad>Something hit my foot..
0x5a0b0,まだまだそろってない パーツや<4E>メダルが あるだろ？<4C>おとこだったら<4E>さいごまで やリとげるんだ,<@Dad>You still haven't set up all your parts and Medals?<4C>Real men always have them ready!
0x5a0b2,ここまで せいちょうしたら<4E>つぎは つうしんケーブルで<4C>べつの せかいのともだちと<4E>ロボトルに ちょうせんだ!,"<@Dad>As your Medarots grow, you can connect with friends from other worlds through a Link Cable!"
0x5a0b4,<*0>,
0x5a0b6,=0x5a0b4,=0x5a0b4
0x5a0b8,=0x5a0b4,=0x5a0b4
0x5a0ba,=0x5a0b4,=0x5a0b4
0x5a0bc,=0x5a0b4,=0x5a0b4
0x5a0be,=0x5a0b4,=0x5a0b4
