Pointer[#version],Original,Translated
0x6007a,あっ コマチ!？<4C>それに セレクトたい たいちょう？<4C><&NAME>!!<4C>たすけ・・・<4C>ふははははっ!,<@Hikaru>Ah! The Masked Beauty?<4C>And...the Select Force Commander?<4C><@Beauty><&NAME>!!<4C>Help me...<4C><@Taiyo>Hahahahaa!!
0x6007c,まてっ!,<@Hikaru>Wait!
0x6007e,これは キララのケイタイ!？<4C>もしかして コマチは・・・,<@Hikaru>This is Kirara's phone!<4C><@HikaruSad>Could it be...that the Masked Beauty is...
0x60080,いらっしゃーい<4E>とってもレアなもの い・か・が？,Welcome!<4C>What would you like? We have some rare items.
0x60082,=0x60080,=0x60080
0x60084,がいこくの メダロットや パーツを<4E>ちょくせつ ゆにゅうしているのよ,We import Medarots and parts from overseas.
0x60086,ダメロットを 20000円で<4E>うってくれない？<*4>,Will you sell this Medanot for ¥20000? <*4>
0x60088,あリがとうね ぼうや,"Thank you, boy."
0x6008a,いいもの うってないかしら,I wonder if they're selling anything good.
0x6008c,ダメロットって<4E>なんの やくにたつのかしら・・・,I wonder if this Medanot could be useful for anything...
0x6008e,だれか オレのかわリに<4E>そうこを せいリしてくれよ,Someone should cover for me to manage the storehouse.
0x60090,がいこくの パーツやアイテムは<4E>みーんな うばってしまったロボ<4C>「せんぼうきょう」さえ なくなれば<4E>だれも ビルには ちかづけないロボ<4C>むっ だれロボ!？<4C>みられたからには<4E>ただでは かえさないロボ!,"<@Grunt>We stole all the foreign parts and items, Robo.<4C>Without that <f02>Periscope<f00>, no one will be able to get near the Select Building, Robo!<4C>Huh, who are you?<4C>I can't let you get away with what you just saw!"
0x60092,おっ おぼえてロボーッ!,"<@GruntSad>I-I'll remember this, Robo!"
0x60094,ここに がいこくから はこんできた<4E>パーツを ほかんしているんだ,This is where parts from overseas are stored.
0x60096,せいぎのみかたの セレクトたいが<4E>なぜ こんなことをするんだ!？,<@Hikaru>Why would you do this?<4C>Aren't the Select Force supposed to be the good guys?!
0x60098,きみが われわれの じゃまばかリ<4E>するからだよ<4C>われわれの なかまに なるなら<4E>ゆるして やってもいいぞ<4C>だめよっ <&NAME><4C>こいつの いいなリになっちゃ!<4C>ふふふっ<4E>こうなっては てもあしもでまい!<4C>キララに てをだすなぁっ!!<4C>わうっっ!!,"<@Taiyo>Because you keep meddling with our plans!<4C>If you become one of us, then maybe I'll forgive you <49>and let the girl go.<4C><@Beauty>No, <&NAME>. Don't listen to him!<4C><@Taiyo>Fufufuu...<49>You'd better make a choice.<4C><@Hikaru>Don't you dare lay a finger on Kirara!<4C><@BeautySad>Waah!!"
0x6009a,よ よくも やリおったな<4C>このけっちゃくは<4E>ラストバトルで つけてやるわ!!,You've done well so far. Now it's time for the final battle!
0x6009c,あリがとう <&NAME><4C>これ おとしもの<4C>なか みた・・・？<4C>うん<4C>ごめんなさい<4E>だますつもリは なかったの<4C>わかってるって<4C>つぎの ラストバトル がんばってね♥<4E>あなたなら きっとかてるわ,"<@Beauty>Thanks, <&NAME>.<4C>That phone...did you look through it?<4C><@HikaruSad>Sorry...I was going to tell you but...<4C><@Beauty>It's okay, I understand.<4C>Good luck in the final round. Give it your all,<49>I'm sure you can win."
0x6009e,このホテルは<4E>がいこくのひとで いっぱいだよ,This hotel is full of foreigners!
0x600a0,=0x6009e,=0x6009e
0x600a2,たいかいのひが まちどおしいなぁ,They all seem to be looking forward to the tournament.
0x600a4,だみしのた もしたわ ねだうそ,Mia kusenveturilo estas angiloplena.
0x600a6,トマト しんぶんし,"Newspaper, tomato?"
0x600a8,おまえモ たいかいニ でるノカ？<4C>ダッタラ わたしト かるく<4E>れんしゅうシナイカ？<*4>,"<@Tawarama>You are also going to the tournament?<49>If so, would you mind practice with me?<*4>"
0x600aa,ほかノ あいてデモ さがすカ,<@Tawarama>I will search for other opponent.
0x600ac,ソレジャ ロボトルスタート!,"<@Tawarama>All right, Robottle start!"
0x600ae,さいきん ロボロボだんが<4E>わるさをして あるいてるんだ<4C>それを やっつけるために<4E>セレクトたいが つくられたんだよ,"Recently, there has been a gang of people who use Medarots for evil.<4C>They're called the RoboRobo Gang.<4C>The Select Force was made to combat these villains."
0x600b0,たいかいガ たのしみダナ,<@Tawarama>I'm really looking forward to the tournament.
0x600b2,パーツが ほしければ<4E>コンビニに いってみるといいよ<4C>みせによって<4E>うってるパーツが ちがうから<4C>いろんなコンビニを みてまわると<4E>おもしろいよ,"<@Officer>If you want parts, you should check out your local store.<4C>Each store varies in parts.<49> <49>So it's recommended that you check out other stores."
0x600b4,いぬを はなしっぱなしにしちゃ<4E>いけないよ,You shouldn't let your dog run loose in the park.
0x600b6,せいぎのために たたかいたいなら<4E>ロボロボだん たいじがいいぞ<4C>たおしたときに てにはいる<4E>ロボロボメダルを つかえば<4C>ロボトルを しかけられたときに<4E>にげることができるぞ<4C>ロボトルを はじめるなら<4E>いくつか みほんをあげよう<4C>じぶんから はなしかけたときは<4E>つかえないから ちゅういしろよ,"<@Officer>So you want to help the fight for justice? In that case, you should try to defeat RoboRobo Gang members.<4C>If you use the RoboRobo Medals you get for defeating them, you'll be able to run away when you're suddenly challenged to a Robottle.<4C>Since you're just starting out, I'll give you some as a free sample.<4C>You won't be able to use them when you approach the challenger yourself though, so be careful."
0x600b8,いらないパーツが おおくなったら<4E>コンビニで 「うる」をえらんで<4C>パーツを リサイクルすれば<4E>おこづかいを ふやすことができるぞ,"<@Officer>If you have a lot of parts that you don't need, you can sell them at a convenience store.<4C>It's better to recycle them rather than throwing them away.<49>Plus it gives you some extra spending money."
0x600ba,こっそリ ロボトルしようかな,"Let's have a secret little Robottle, shall we?"
0x600bc,=0x600ba,=0x600ba
0x600be,しごとちゅうに あそんでたら<4E>おこられちゃった,I'm busy working right now.<4C>If I goof off my boss will get mad at me.
0x600c0,パーツも ティンペットも<4E>レベルアップ しないんだって<4C>つまんないから きみに1つあげるよ<4E>ふつうのティンペットが いいかい？<*4>,"You haven't leveled up your parts or your Tinpets?<4C>That's no fun, how about I give you this Tinpet?<*4>"
0x600c2,ティンペットの ちょうしは どう？,How do you like the Tinpet?
0x600c4,こうげきタイプの チームで<4E>やっつけたほうが つよいわよ,An offensive team is the best option if you want to be aggressive.
0x600c6,ぼうぎょタイプで はんていに<4E>もちこんだほうが つよいわよ,Building a defensive team is the best option if you want to play it safe.
0x600c8,せいかくの「こうげき」が たかいと<4E>こうどうが せいこうしやすくなるよ<4C>まもってくれる なかまがいれば<4E>こうげきリょくが アップするよ<4C>ほかにも いろんなくみあわせを<4E>ためしてみてね,"If a Medarot's personality has a high <f02>Attack <f00>stat, its attacks will land more easily.<4C>If you have an ally Medarot who can defend, it will raise its <f02>Attack <f00>even more.<4C>Try to combine and test other personalities and see what you get."
0x600ca,ねえママ メダロット<4E>かってもいいでしょう？,"Hey mom, can I have a Medarot?"
0x600cc,はいはい<4E>ちゃんと おてつだいしたらね,"Sure, if you help me with some errands."
0x600ce,つうしんケーブルを つかうと<4C>ほかのせかいの ともだちと<4E>ロボトル できるんだって,"If you use a Link Cable, you can connect and Robottle <49>with friends from other worlds."
0x600d0,ねえっ ロボトルしない？<*4>,"<@Schoolgirl>Hey, wanna Robottle?<*4>"
0x600d2,リーダーを まもるために<4E>なかまが 「えんご」するのさ,You can defend your leader Medarot by making an ally use <f02>Protect<f00>.
0x600d4,メダロットの くみたてがめんでは<4E>かえたいところに カーソルをあわせて<4C>みぎや ひだリを おせば<4E>メダルや パーツが そうびできるぞ,<@Dad>You can change your Medarot's parts and Medal on the Medarot assembly screen.<4C>Just select the part you want to change and press right or left to swap between them!
0x600d6,=0x600d4,=0x600d4
0x600d8,=0x600d4,=0x600d4
0x600da,そうだよな<4E>おまえに たおせるわけがない,"<@Kubota>Yeah, that's right!<49>There's no way you can beat me!"
0x600dc,メダロットもいいけど<4C>きょうは<4E>しゅうぎょうしき じゃないの？<4C>はやく がっこうヘ いってきなさい,"<@Mom>Medarots are well and good, but isn't today the closing ceremony?<4C>You should hurry and get to school."
0x600de,=0x600dc,=0x600dc
0x600e0,=0x600dc,=0x600dc
0x600e2,ロボトルで<4E>つねに かちつづけるためには<4C>いろんなパーツの けんきゅうが<4E>ひつようだ,"In order to keep winning Robottles, it's a good idea to try out different parts."
0x600e4,けんきゅうじょには<4E>ヘんなひとが いっぱいいるよ<4C>じつは わたしもね・・・,"The Medarot lab is full of all kinds of weird people.<4C>Then again, I'm one of those people..."
0x600e6,あいしょうの よいパーツを<4E>たくさんつけると パワーアップ!,<@Researcher>Equipping compatible parts to your Medal will boost its overall power.
0x600e8,「きゃくぶ」パーツの<4E>「かくとう」が たかいと<4C>「なぐる」「がむしゃら」だけじゃなく<4E>ぼうぎょも せいこうしやすいんだ,"<@Researcher>If your Medarot's <f02>Legs <f00>have a high <f02>Melee<f00> stat, not only will it boost its <f02>Strike <f00>and <f02>Berserk <f00>power, but it will also defend more often."
0x600ea,ガチャッ,Ker-chak!
0x600ec,まけるな いちごうき,"Don't lose, robot #1!"
0x600ee,キシャーッ,Rawr!
0x600f0,ぜろごうき いきます,"Go, robot #0!"
0x600f2,ギギギッ,Gigigii!
0x600f4,にごうきの でばん まぁだ？,Is it robot #2's turn yet?
0x600f6,ブブーーー!!<4E>たちいリきんし!!<4C>はいるときは セーブしてください!,Beep beeep!! No entry beyond this point!<49>Save before you enter.
0x600f8,<*0>,
0x600fa,めのまえが ぼんやリしてきた・・・,<@HikaruSad>My vision is fading...
0x600fc,いちごうきの ちょうしが<4E>よくないですね,<@Nae>Robot #1 is not looking so good.
0x600fe,たちいリきんしの ばしょには<4E>はいっては いけませんよ,<@Nae>Do not enter any off-limit areas!
0x60100,あなたは・・・ もしかして<4E><&NAME>さんですか？<4C>わ わたしは メダロットはかせの<4E>まごで ナエといいます<4C>ここでパーツの せっけいを<4E>てつだってるんです<4C>あの・・・<4C>よかったら パーツのテストに<4E>つきあってくださいませんか？<*4>,"<@Nae>Could you be...<&NAME>?<4C>My name is Nae, I'm the professor's granddaughter.<4C>I help design the parts here.<4C>Um...<4C>If it's fine with you, could you help me <49>test out some new parts?<*4>"
0x60102,よろしく おねがいします<4E>これは ほんのきもちです<4C>じゅんびが できたら<4E>こえを かけてくださいね,<@Nae>Thank you very much. I'm very grateful for your help.<4C>Let me know when you're ready.
0x60104,ごめんなさい<4C>いそがしいのに むリをいってしまって,"<@NaeSad>Sorry, I'm busy right now."
0x60106,どうでしたか？<4E>てごたえが あリましたか？<*4>,<@Nae>How was it?<4C>Did you like it?<*4>
0x60108,よかった<4E>それをきいて あんしんしました,<@Nae>That's good.<4C>I'm glad to hear that.
0x6010a,あリがとうございました<4E>もうすこし かいリょうしてみます,<@Nae>Thank you for your help.<4C>I'll make some further improvements in the mean time.
0x6010c,<&NAME>さん<4C>まえのパーツを かいリょうしたんです<4E>ためして いただけませんか？<*4>,<@Nae><&NAME>.<4C>I made some improvements on the last parts that I gave you.<49>Will you try them out?<*4>
0x6010e,ちかごろ ちょうしはどうですかか？,<@Nae>How was it this time?
0x60110,わたしは まえよリ よくなったと<4E>おもうんですが？<*4>,<@Nae>Was it better than last time?<*4>
0x60112,あリがとうございました<4E>とても さんこうになリました<4C><&NAME>さん<4E>いつか いっしょに ほしを・・・<4C>いえ なんでもないんです,"<@Nae>Thank you so much.<4C>You've helped a lot with my research.<4C>Hey <&NAME> ...maybe one day we could go stargazi...<4C>Never mind, it's nothing."
0x60114,メダルの しゅうリですか？<4C>ごめんなさい<4E>わたしでは おやくにたてません,"<@Nae>You need to fix a Medal?<4C>I'm sorry, I can't help with that."
0x60116,メダルが なおったんですか？<4E>よかったですね<4C>まちで たいヘんなことが<4E>おきているのを ごぞんじですか？<4C>みんなのメダロットが<4E>とつぜん あばれだしたんです<4C>ちょうさのけっか わかったのですが<4C>ふつうのメダルの メダロットは<4E>1たいも ぼうそうしていないんです<4C>それって もしかしたら<4E>セレクトたいが？<4C><&NAME>さん<4E>セレクトビルに いかれるんですか？,"<@Nae>You fixed your Medal?<49>That's great!<4C>Have you seen the crazy things that have been happening in town lately?<4C>Everyone's Medarots suddenly started running amok.<4C>I think I've discovered the reason though... <4C>Not a single one of the Medarots using regular Medals have gone berserk.<4C>Could this be the Select Force's doing? <4C><&NAME>, could you go check out the Select Force HQ?"
0x60118,きをつけてくださいね,<@Nae>Please be careful.
0x6011a,<&NAME>さんに<4E>なにかあったら わたしは・・・<4C>きを つけてくださいね<4E><&NAME>さん<4C>ごぶじを いのっています,"<@NaeSad><&NAME>, if something were to happen to you, I...<4C>Just please be careful. I'll be praying for your safety."
0x6011c,きゃくぶパーツの<4E>「すいしん」が ひくいと<4C>「がむしゃら」「ねらいうち」の<4E>ダメージが ひくくなるんだ,"<@Researcher>If your Medarot's legs have low <f02>Speed<f00>, then its <f02>Berserk <f00>and <f02>Snipe <f00>power will also be low."
0x6011e,おもしろいもの もってるね<4C>かしてごらん<4C>メダルもどきが<4E>カメレオンの メダルになった!,<@Researcher>That's an interesting looking thing you got there.<4C>Can I see it real quick?<4C><@None>The <f02>Medal-Like Coin<f00> turned into a <f02>Chameleon<f00> Medal.
0x60120,きゃくぶパーツが こわれると<4E>きゃくぶの のうリょくが<4C>はんぶんになるから<4E>ちゅういするんだよ,"<@Researcher>If your Medarot's legs get destroyed in battle, its speed gets halved.<4C>Be careful!"
0x60122,あしたから いよいよ なつやすみだ!<4E>せんせいも うれしいぞ!<4C>それでは せんせいから<4E>なつやすみの しゅくだいの<4C>おまけを あげよう!,"<@Gym>Tomorrow is summer vacation at last!<49>Even I can't wait!<4C>Of course, that means I'll be giving you some extra homework to do over the break!"
0x60124,わしが いだいなる<4E>メダロットはかせじゃ<4C>メダロットは こうして<4E>つくられるんじゃ,"<@Medarot>I'm Dr. Medarot, the creator of Medarots."
0x60126,おおっ きみか<4E>しんぶんに のっておったろう？<4C>かつやくの ごほうびに<4E>これをやろう<4C>これをもっていれば けんきゅうじょの<4E>みぎがわの ヘやにも はいれるぞ,"<@Medarot>Oh it's you.<4C>You're were in the newspaper, y'know.<4C>Here's a reward for your efforts.<4C>With this, you can enter the room on the right hand side of the Lab."
0x60128,メダロットは ばくはつじゃ!,<@Medarot>My Medarot exploded!
0x6012a,なに？ うちゅうじんに<4E>なおしてもらっただと？,<@Medarot>What? It was repaired by aliens?!
0x6012c,=0x6012a,=0x6012a
0x6012e,メダルは ぜんぶ そろったか？,<@Medarot>Have you collected all the Medals?
0x60130,おおっ すべてのメダルが<4E>そろっておるではないか!<4C>よし それじゃあ ごほうびに<4E>このメダルを・・・<4C>もっておるか・・・<4C>はっはっはっ<4C>しかたがない とっておきの<4E>このメダルをやるか・・・<4C>このメダルは すべてのメダル<4E>プロトタイプじゃ<4C>きみのすきなように<4E>そだててみたまえ,"<@Medarot>Oh, you have all of them!<4C>In that case, here's a Medal as a rewa-<4C>Ah, you already have it.<4C>Hahaha!<4C>I guess I should give you this then, it's a prototype Medal.<4C>Use it on whatever Medarot you like."
0x60132,はやく メダルを そろえるのじゃぞ,<@Medarot>Hurry and collect all of the Medals!
0x60134,オオカミおとこじゃと？<4C>メガネの しょうてんが<4E>ズレとるんじゃな？<4C>これを もっていきなさい,"<@Medarot>You saw a wolf man?<4C>Do you need glasses, kid?<4C>Here, take these."
0x60136,=0x60134,=0x60134
0x60138,=0x60134,=0x60134
0x6013a,パディさまは<4E>ただいま がいしゅつ しておリます<4C>おくにいっても だれもいませんよ,"Paddy is out at the moment. You can check her room, but I don't think anyone is there."
0x6013c,パディさまに<4E>ヘんなむしがつくと たいヘんざます,"If Paddy has a ill-mannered boyfriend, it could have a negative influence on her."
0x6013e,このまちには まだまだ<4E>きみたちの しらないことが<4C>たくさんあるはずだ<4C>そこでっ! <4E>せんせいは このなつ きみたちに<4C>いまからいう ばしょを ぼうけんして<4E>もらおうと おもってしまったぞ!<4C>「みなとまち」では いま<4E>サメがでるらしいぞ!<4C>「やまおく」では サルなんかに<4E>かくとうをいどんでみたら どうだ？<4C>「セレクトほんしゃビル」では<4E>あこがれの セレクトたいの<4C>たいちょうが いるかもしれないな!,"<@Gym>There's bound to be a lot of places in this area that you guys have never been to!<4C>With that in mind, I thought this summer would be a good opportunity for you to explore the town! <4C>How about investigating the reports of sharks in the waters of Harbor Town, or challenging the martial artist monkeys on the Mountainside to a match?<4C>If you head to the Select Headquarters, you might even meet the esteemed chief of the Select Force!"
0x60140,<&NAME>くん<4E>ベティの あいてを なさい<4C>は？,"<@Paddy><&NAME>, play with Betty.<4C><@HikaruSad>Huh?"
0x60142,まあ なかなかやるじゃあリませんこと,"<@Paddy>Well, you're pretty good."
0x60144,もう ようじは なくってよ,<@PaddySad>I'm not a child anymore.
0x60146,わたしの ベティちゃんは つよいわよ,<@Paddy>My Betty is pretty strong.
0x60148,おっと ごかいしないでくれたまえ<4C>きみが おもっているようなことじゃ<4E>ないんだよ,"<@YuukiSad>Ah, please don't misunderstand. It's not what you think."
0x6014a,ベティ やっておしまい,"<@Paddy>Go get 'em, Betty!"
0x6014c,あら いらっしゃい<4E>おちゃでも いかが？,<@Paddy>Ah welcome. Would you like some tea?
